Jahr;AGS;Name;Viehbestand 2016
01.03.2016;73;    Rheinhessen-Pfalz, Stat. Region;51679
01.03.2016;7311;      Frankenthal (Pfalz), kreisfreie Stadt;.
01.03.2016;7312;      Kaiserslautern, kreisfreie Stadt;296
01.03.2016;7313;      Landau in der Pfalz, kreisfreie Stadt;29
01.03.2016;7314;      Ludwigshafen am Rhein, kreisfreie Stadt;179
01.03.2016;7315;      Mainz, kreisfreie Stadt;195
01.03.2016;7316;      Neustadt an der Weinstra�e, kreisfreie Stadt;299
01.03.2016;7317;      Pirmasens, kreisfreie Stadt;576
01.03.2016;7318;      Speyer, kreisfreie Stadt;67
01.03.2016;7319;      Worms, kreisfreie Stadt;220
01.03.2016;7320;      Zweibr�cken, kreisfreie Stadt;1722
01.03.2016;7331;      Alzey-Worms, Landkreis;.
01.03.2016;7332;      Bad D�rkheim, Landkreis;1159
01.03.2016;7333;      Donnersbergkreis;6742
01.03.2016;7334;      Germersheim, Landkreis;1776
01.03.2016;7335;      Kaiserslautern, Landkreis;8184
01.03.2016;7336;      Kusel, Landkreis;10575
01.03.2016;7337;      S�dliche Weinstra�e, Landkreis;1480
01.03.2016;7338;      Rhein-Pfalz-Kreis;496
01.03.2016;7339;      Mainz-Bingen, Landkreis;2198
01.03.2016;7340;      S�dwestpfalz, Landkreis;12775
01.03.2016;8;  Baden-W�rttemberg, Land;1002741
01.03.2016;81;    Stuttgart, Regierungsbezirk;343255
01.03.2016;8111;      Stuttgart, Landeshauptstadt, Stadtkreis;878
01.03.2016;8115;      B�blingen, Landkreis;11096
01.03.2016;8116;      Esslingen, Landkreis;10907
01.03.2016;8117;      G�ppingen, Landkreis;27839
01.03.2016;8118;      Ludwigsburg, Landkreis;15821
01.03.2016;8119;      Rems-Murr-Kreis, Landkreis;19674
01.03.2016;8121;      Heilbronn, Universit�tsstadt, Stadtkreis;277
01.03.2016;8125;      Heilbronn, Landkreis;14974
01.03.2016;8126;      Hohenlohekreis, Landkreis;32509
01.03.2016;8127;      Schw�bisch Hall, Landkreis;91388
01.03.2016;8128;      Main-Tauber-Kreis, Landkreis;26944
01.03.2016;8135;      Heidenheim, Landkreis;20792
01.03.2016;8136;      Ostalbkreis, Landkreis;70155
01.03.2016;82;    Karlsruhe, Regierungsbezirk;81151
01.03.2016;8211;      Baden-Baden, Stadtkreis;387
01.03.2016;8212;      Karlsruhe, Stadtkreis;538
01.03.2016;8215;      Karlsruhe, Landkreis;7376
01.03.2016;8216;      Rastatt, Landkreis;3184
01.03.2016;8221;      Heidelberg, Stadtkreis;513
01.03.2016;8222;      Mannheim, Stadtkreis;499
01.03.2016;8225;      Neckar-Odenwald-Kreis, Landkreis;22180
01.03.2016;8226;      Rhein-Neckar-Kreis, Landkreis;13502
01.03.2016;8231;      Pforzheim, Stadtkreis;307
01.03.2016;8235;      Calw, Landkreis;12085
01.03.2016;8236;      Enzkreis, Landkreis;9579
01.03.2016;8237;      Freudenstadt, Landkreis;11002
01.03.2016;83;    Freiburg, Regierungsbezirk;187890
01.03.2016;8311;      Freiburg im Breisgau, Stadtkreis;867
01.03.2016;8315;      Breisgau-Hochschwarzwald, Landkreis;25314
01.03.2016;8316;      Emmendingen, Landkreis;11577
01.03.2016;8317;      Ortenaukreis, Landkreis;24955
01.03.2016;8325;      Rottweil, Landkreis;17601
01.03.2016;8326;      Schwarzwald-Baar-Kreis, Landkreis;27430
01.03.2016;8327;      Tuttlingen, Landkreis;14600
01.03.2016;8335;      Konstanz, Landkreis;23203
01.03.2016;8336;      L�rrach, Landkreis;13292
01.03.2016;8337;      Waldshut, Landkreis;29051
01.03.2016;84;    T�bingen, Regierungsbezirk;390445
01.03.2016;8415;      Reutlingen, Landkreis;27175
01.03.2016;8416;      T�bingen, Landkreis;7361
01.03.2016;8417;      Zollernalbkreis, Landkreis;14382
01.03.2016;8421;      Ulm, Stadtkreis;3722
01.03.2016;8425;      Alb-Donau-Kreis, Landkreis;68037
01.03.2016;8426;      Biberach, Landkreis;86276
