,AGS,Name,Bundesland,Landwirtschaft_Flaeche,Tierzahl_GV,GV_pro_Flaeche,agriculture_rank,agriculture_third
89,5154,Kleve,Nordrhein-Westfalen,73120.0,122219.0,1.6714852297592997,383.0,unteren Drittel
90,5158,Mettmann,Nordrhein-Westfalen,12296.0,5967.0,0.4852797657774886,169.0,mittleren Drittel
91,5162,Rhein-Kreis Neuss,Nordrhein-Westfalen,28209.0,7581.0,0.2687440178666383,71.0,oberen Drittel
92,5166,Viersen,Nordrhein-Westfalen,28903.0,33391.0,1.1552779988236515,337.0,unteren Drittel
93,5170,Wesel,Nordrhein-Westfalen,49555.0,63695.0,1.2853395217435173,354.0,unteren Drittel
94,5314,Bonn,Nordrhein-Westfalen,959.0,586.0,0.6110531803962461,229.0,mittleren Drittel
95,5315,Köln,Nordrhein-Westfalen,8361.0,888.0,0.10620739146035163,18.0,oberen Drittel
96,5316,Leverkusen,Nordrhein-Westfalen,1433.0,1577.0,1.1004884856943475,327.0,unteren Drittel
97,5334,Städteregion Aachen,Nordrhein-Westfalen,24469.0,22975.0,0.9389431525603825,303.0,unteren Drittel
98,5358,Düren,Nordrhein-Westfalen,48788.0,11887.0,0.24364597851930803,60.0,oberen Drittel
99,5362,Rhein-Erft-Kreis,Nordrhein-Westfalen,33014.0,4546.0,0.1376991579329981,28.0,oberen Drittel
100,5366,Euskirchen,Nordrhein-Westfalen,50836.0,29885.0,0.5878708002203163,221.0,mittleren Drittel
101,5370,Heinsberg,Nordrhein-Westfalen,36358.0,28423.0,0.7817536718191319,274.0,unteren Drittel
102,5374,Oberbergischer Kreis,Nordrhein-Westfalen,30448.0,37229.0,1.2227075669994745,346.0,unteren Drittel
103,5378,Rheinisch-Bergischer Kreis,Nordrhein-Westfalen,12864.0,13353.0,1.0380130597014925,317.0,unteren Drittel
104,5382,Rhein-Sieg-Kreis,Nordrhein-Westfalen,44116.0,30742.0,0.6968446822014689,252.0,mittleren Drittel
105,5512,Bottrop,Nordrhein-Westfalen,3602.0,6801.0,1.88811771238201,387.0,unteren Drittel
106,5513,Gelsenkirchen,Nordrhein-Westfalen,837.0,1189.0,1.4205495818399043,370.0,unteren Drittel
107,5515,Münster,Nordrhein-Westfalen,12715.0,16225.0,1.2760519071962249,352.0,unteren Drittel
108,5554,Borken,Nordrhein-Westfalen,87549.0,219151.0,2.5031810757404425,391.0,unteren Drittel
109,5558,Coesfeld,Nordrhein-Westfalen,70725.0,140487.0,1.9863838812301167,388.0,unteren Drittel
110,5562,Recklinghausen,Nordrhein-Westfalen,24718.0,38530.0,1.5587830730641639,377.0,unteren Drittel
111,5566,Steinfurt,Nordrhein-Westfalen,101473.0,181216.0,1.7858543652005952,386.0,unteren Drittel
112,5570,Warendorf,Nordrhein-Westfalen,88194.0,142206.0,1.6124226137832505,380.0,unteren Drittel
113,5711,Bielefeld,Nordrhein-Westfalen,7073.0,3579.0,0.5060087657288279,176.0,mittleren Drittel
114,5754,Gütersloh,Nordrhein-Westfalen,52050.0,73821.0,1.4182708933717578,369.0,unteren Drittel
115,5758,Herford,Nordrhein-Westfalen,20727.0,13744.0,0.6630964442514594,240.0,mittleren Drittel
116,5762,Höxter,Nordrhein-Westfalen,65478.0,52697.0,0.8048046672164697,280.0,unteren Drittel
117,5766,Lippe,Nordrhein-Westfalen,54487.0,25274.0,0.46385376328298494,156.0,mittleren Drittel
118,5770,Minden-Lübbecke,Nordrhein-Westfalen,65967.0,61769.0,0.9363621204541664,300.0,unteren Drittel
119,5774,Paderborn,Nordrhein-Westfalen,60157.0,80780.0,1.3428196219891284,361.0,unteren Drittel
120,5911,Bochum,Nordrhein-Westfalen,1889.0,772.0,0.4086818422445738,125.0,oberen Drittel
121,5913,Dortmund,Nordrhein-Westfalen,5212.0,2122.0,0.40713737528779737,124.0,oberen Drittel
122,5914,Hagen,Nordrhein-Westfalen,1861.0,1618.0,0.8694250403009135,289.0,unteren Drittel
123,5915,Hamm,Nordrhein-Westfalen,11266.0,12067.0,1.0710988815906266,322.0,unteren Drittel
124,5916,Herne,Nordrhein-Westfalen,482.0,591.0,1.2261410788381744,347.0,unteren Drittel
125,5954,Ennepe-Ruhr-Kreis,Nordrhein-Westfalen,11349.0,10834.0,0.9546215525596969,304.0,unteren Drittel
126,5958,Hochsauerlandkreis,Nordrhein-Westfalen,55839.0,57609.0,1.0316982753989148,315.0,unteren Drittel
127,5962,Märkischer Kreis,Nordrhein-Westfalen,26938.0,27610.0,1.0249461726928502,314.0,unteren Drittel
128,5966,Olpe,Nordrhein-Westfalen,14290.0,15452.0,1.0813156053184045,325.0,unteren Drittel
129,5970,Siegen-Wittgenstein,Nordrhein-Westfalen,17408.0,13907.0,0.7988855698529411,279.0,unteren Drittel
130,5974,Soest,Nordrhein-Westfalen,74438.0,68811.0,0.9244068889545662,299.0,unteren Drittel
131,5978,Unna,Nordrhein-Westfalen,25342.0,24998.0,0.9864256964722595,311.0,unteren Drittel
