,AGS,Gerics_Name,Gerics_Bundesland
99,1060,Segeberg,Schleswig-Holstein
100,1061,Steinburg,Schleswig-Holstein
101,1062,Stormarn,Schleswig-Holstein
102,5570,Warendorf,Nordrhein-Westfalen
103,9572,Erlangen-Höchstadt,Bayern
104,9571,Ansbach,Bayern
105,9576,Roth,Bayern
106,9577,Weißenburg-Gunzenhausen,Bayern
107,9574,Nürnberger Land,Bayern
108,9575,Neustadt an der Aisch-Bad Windsheim,Bayern
109,5170,Wesel,Nordrhein-Westfalen
110,9478,Lichtenfels,Bayern
111,9473,Coburg,Bayern
112,9472,Bayreuth,Bayern
113,9471,Bamberg,Bayern
114,12067,Oder-Spree,Brandenburg
115,9477,Kulmbach,Bayern
116,9476,Kronach,Bayern
117,9475,Hof,Bayern
118,9474,Forchheim,Bayern
119,6535,Vogelsbergkreis,Hessen
120,6534,Marburg-Biedenkopf,Hessen
121,6533,Limburg-Weilburg,Hessen
122,6532,Lahn-Dill-Kreis,Hessen
123,6531,Gießen,Hessen
124,8221,Heidelberg,Baden-Württemberg
125,5122,Solingen,Nordrhein-Westfalen
126,5315,Köln,Nordrhein-Westfalen
127,9780,Oberallgäu,Bayern
128,9271,Deggendorf,Bayern
129,9273,Kelheim,Bayern
130,5382,Rhein-Sieg-Kreis,Nordrhein-Westfalen
131,9275,Passau,Bayern
132,9274,Landshut,Bayern
133,9277,Rottal-Inn,Bayern
134,9276,Regen,Bayern
135,9279,Dingolfing-Landau,Bayern
136,9278,Straubing-Bogen,Bayern
137,9372,Cham,Bayern
138,9373,Neumarkt in der Oberpfalz,Bayern
139,9374,Neustadt an der Waldnaab,Bayern
140,9375,Regensburg,Bayern
141,9376,Schwandorf,Bayern
142,9377,Tirschenreuth,Bayern
143,5954,Ennepe-Ruhr-Kreis,Nordrhein-Westfalen
144,5958,Hochsauerlandkreis,Nordrhein-Westfalen
145,9778,Unterallgäu,Bayern
146,14511,Chemnitz,Sachsen
147,7317,Pirmasens,Rheinland-Pfalz
148,2000,Hamburg,Hamburg
149,16064,Unstrut-Hainich-Kreis,Thüringen
150,16065,Kyffhäuserkreis,Thüringen
151,16066,Schmalkalden-Meiningen,Thüringen
152,16067,Gotha,Thüringen
153,16061,Eichsfeld,Thüringen
154,16062,Nordhausen,Thüringen
155,16063,Wartburgkreis,Thüringen
156,16068,Sömmerda,Thüringen
157,16069,Hildburghausen,Thüringen
158,7138,Neuwied,Rheinland-Pfalz
159,9663,Würzburg,Bayern
160,7131,Ahrweiler,Rheinland-Pfalz
161,7132,Altenkirchen (Westerwald),Rheinland-Pfalz
162,7133,Bad Kreuznach,Rheinland-Pfalz
163,7134,Birkenfeld,Rheinland-Pfalz
164,7135,Cochem-Zell,Rheinland-Pfalz
165,9678,Schweinfurt,Bayern
166,14729,Leipzig,Sachsen
167,8111,Stuttgart,Baden-Württemberg
168,8435,Bodenseekreis,Baden-Württemberg
169,8436,Ravensburg,Baden-Württemberg
170,8437,Sigmaringen,Baden-Württemberg
171,6412,Frankfurt am Main,Hessen
172,5914,Hagen,Nordrhein-Westfalen
173,6436,Main-Taunus-Kreis,Hessen
174,3241,Region Hannover,Niedersachsen
175,7141,Rhein-Lahn-Kreis,Rheinland-Pfalz
176,7140,Rhein-Hunsrück-Kreis,Rheinland-Pfalz
177,7143,Westerwaldkreis,Rheinland-Pfalz
178,5316,Leverkusen,Nordrhein-Westfalen
179,9661,Aschaffenburg,Bayern
180,9187,Rosenheim,Bayern
181,9186,Pfaffenhofen an der Ilm,Bayern
182,9185,Neuburg-Schrobenhausen,Bayern
183,9184,München,Bayern
184,9183,Mühldorf am Inn,Bayern
185,9182,Miesbach,Bayern
186,9181,Landsberg am Lech,Bayern
187,9180,Garmisch-Partenkirchen,Bayern
188,9189,Traunstein,Bayern
189,9188,Starnberg,Bayern
190,1051,Dithmarschen,Schleswig-Holstein
191,1053,Herzogtum Lauenburg,Schleswig-Holstein
192,1055,Ostholstein,Schleswig-Holstein
193,1054,Nordfriesland,Schleswig-Holstein
194,1057,Plön,Schleswig-Holstein
195,1056,Pinneberg,Schleswig-Holstein
196,1059,Schleswig-Flensburg,Schleswig-Holstein
197,1058,Rendsburg-Eckernförde,Schleswig-Holstein
198,1003,Lübeck,Schleswig-Holstein
199,5119,Oberhausen,Nordrhein-Westfalen
200,9764,Memmingen,Bayern
201,6440,Wetteraukreis,Hessen
202,5362,Rhein-Erft-Kreis,Nordrhein-Westfalen
203,5366,Euskirchen,Nordrhein-Westfalen
204,13003,Rostock,Mecklenburg-Vorpommern
205,15091,Wittenberg,Sachsen-Anhalt
206,8215,Karlsruhe,Baden-Württemberg
207,8216,Rastatt,Baden-Württemberg
208,6438,Offenbach,Hessen
209,9776,Lindau (Bodensee),Bayern
210,5113,Essen,Nordrhein-Westfalen
211,16052,Gera,Thüringen
212,5962,Märkischer Kreis,Nordrhein-Westfalen
213,8222,Mannheim,Baden-Württemberg
214,5966,Olpe,Nordrhein-Westfalen
215,7211,Trier,Rheinland-Pfalz
216,14713,Leipzig,Sachsen
217,8315,Breisgau-Hochschwarzwald,Baden-Württemberg
218,8317,Ortenaukreis,Baden-Württemberg
219,8316,Emmendingen,Baden-Württemberg
220,7313,Landau in der Pfalz,Rheinland-Pfalz
221,5913,Dortmund,Nordrhein-Westfalen
222,12051,Brandenburg an der Havel,Brandenburg
223,9176,Eichstätt,Bayern
224,9172,Berchtesgadener Land,Bayern
225,8231,Pforzheim,Baden-Württemberg
226,8417,Zollernalbkreis,Baden-Württemberg
227,7318,Speyer,Rheinland-Pfalz
228,8212,Karlsruhe,Baden-Württemberg
229,16054,Suhl,Thüringen
230,9563,Fürth,Bayern
231,14612,Dresden,Sachsen
232,7336,Kusel,Rheinland-Pfalz
233,7337,Südliche Weinstraße,Rheinland-Pfalz
234,7334,Germersheim,Rheinland-Pfalz
235,7335,Kaiserslautern,Rheinland-Pfalz
236,7332,Bad Dürkheim,Rheinland-Pfalz
237,7333,Donnersbergkreis,Rheinland-Pfalz
238,7331,Alzey-Worms,Rheinland-Pfalz
239,7339,Mainz-Bingen,Rheinland-Pfalz
240,9662,Schweinfurt,Bayern
241,10043,Neunkirchen,Saarland
242,9763,Kempten (Allgäu),Bayern
243,7319,Worms,Rheinland-Pfalz
244,8135,Heidenheim,Baden-Württemberg
245,8136,Ostalbkreis,Baden-Württemberg
246,7316,Neustadt an der Weinstraße,Rheinland-Pfalz
247,6611,Kassel,Hessen
248,3102,Salzgitter,Niedersachsen
249,3402,Emden,Niedersachsen
250,8225,Neckar-Odenwald-Kreis,Baden-Württemberg
251,8226,Rhein-Neckar-Kreis,Baden-Württemberg
252,3153,Goslar,Niedersachsen
253,3151,Gifhorn,Niedersachsen
254,3157,Peine,Niedersachsen
255,15089,Salzlandkreis,Sachsen-Anhalt
256,3155,Northeim,Niedersachsen
257,15087,Mansfeld-Südharz,Sachsen-Anhalt
258,15086,Jerichower Land,Sachsen-Anhalt
259,3158,Wolfenbüttel,Niedersachsen
260,3159,Göttingen,Niedersachsen
261,15083,Börde,Sachsen-Anhalt
262,15082,Anhalt-Bitterfeld,Sachsen-Anhalt
263,15081,Altmarkkreis Salzwedel,Sachsen-Anhalt
264,15002,Halle (Saale),Sachsen-Anhalt
265,3252,Hameln-Pyrmont,Niedersachsen
266,14730,Nordsachsen,Sachsen
267,9479,Wunsiedel im Fichtelgebirge,Bayern
268,8311,Freiburg im Breisgau,Baden-Württemberg
269,9163,Rosenheim,Bayern
270,5117,Mülheim an der Ruhr,Nordrhein-Westfalen
271,5915,Hamm,Nordrhein-Westfalen
272,5916,Herne,Nordrhein-Westfalen
273,7311,Frankenthal (Pfalz),Rheinland-Pfalz
274,5111,Düsseldorf,Nordrhein-Westfalen
275,1004,Neumünster,Schleswig-Holstein
276,9190,Weilheim-Schongau,Bayern
277,8211,Baden-Baden,Baden-Württemberg
278,5754,Gütersloh,Nordrhein-Westfalen
279,5758,Herford,Nordrhein-Westfalen
280,9362,Regensburg,Bayern
281,9363,Weiden in der Oberpfalz,Bayern
282,8421,Ulm,Baden-Württemberg
283,4012,Bremerhaven,Bremen
284,9675,Kitzingen,Bayern
285,9674,Haßberge,Bayern
286,9677,Main-Spessart,Bayern
287,9676,Miltenberg,Bayern
288,9671,Aschaffenburg,Bayern
289,9779,Donau-Ries,Bayern
290,9673,Röhn-Grabfeld,Bayern
291,9672,Bad Kissingen,Bayern
292,9774,Günzburg,Bayern
293,9775,Neu-Ulm,Bayern
294,9777,Ostallgäu,Bayern
295,9679,Würzburg,Bayern
296,9771,Aichach-Friedberg,Bayern
297,9772,Augsburg,Bayern
298,9773,Dillingen an der Donau,Bayern
299,5378,Rheinisch-Bergischer Kreis,Nordrhein-Westfalen
300,5374,Oberbergischer Kreis,Nordrhein-Westfalen
301,5370,Heinsberg,Nordrhein-Westfalen
302,13071,Mecklenburgische Seenplatte,Mecklenburg-Vorpommern
303,13072,Rostock,Mecklenburg-Vorpommern
