"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Postleitzahl";"Ort";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Letzte Aktualisierung"
"SEE991312313790";"Köpenick";"In Betrieb";"3/20/2012";"1/17/2021";"Solare Strahlungsenergie";"11,59";"11,59";"16356";"Werneuchen";"Seehawer GbR";"ABR944141373350";"1/17/2021"
"SEE904960145767";"chris2";"In Betrieb";"3/21/2012";"6/27/2020";"Solare Strahlungsenergie";"7,21";"7,21";"16356";"Werneuchen";"(natürliche Person)";"ABR939758008207";"6/27/2020"
"SEE922725589335";"honki000";"In Betrieb";"3/21/2012";"2/17/2022";"Solare Strahlungsenergie";"10";"10";"16248";"Parsteinsee";"(natürliche Person)";"ABR925480811970";"2/17/2022"
"SEE938159461642";"Ahrensfelde-R1";"In Betrieb";"3/22/2012";"11/21/2019";"Solare Strahlungsenergie";"3,8";"3,6";"16356";"Ahrensfelde";"(natürliche Person)";"ABR945501665368";"3/18/2020"
"SEE903483366109";"Garten";"In Betrieb";"3/22/2012";"11/6/2020";"Solare Strahlungsenergie";"7,98";"3";"16341";"Panketal";"(natürliche Person)";"ABR993953648927";"4/16/2021"
"SEE954083296372";"Stromschleuder";"In Betrieb";"3/23/2012";"12/17/2020";"Solare Strahlungsenergie";"4,23";"3,6";"16356";"Werneuchen";"(natürliche Person)";"ABR974204355849";"6/17/2021"
"SEE929251932109";"Lillistrom";"In Betrieb";"3/24/2012";"11/21/2019";"Solare Strahlungsenergie";"5,06";"4,6";"16356";"Ahrensfelde";"(natürliche Person)";"ABR921435709019";"11/21/2019"
"SEE983254284917";"Dach";"In Betrieb";"3/26/2012";"11/27/2019";"Solare Strahlungsenergie";"4,37";"4,37";"16341";"Panketal";"(natürliche Person)";"ABR942263374613";"3/21/2020"
"SEE917613561579";"Hausdach";"In Betrieb";"3/26/2012";"2/1/2021";"Solare Strahlungsenergie";"7,285";"7,285";"16321";"Bernau";"(natürliche Person)";"ABR962829578187";"2/5/2021"
"SEE943097365266";"Friedrichswalde";"In Betrieb";"3/27/2012";"5/13/2019";"Solare Strahlungsenergie";"199,44";"199,44";"16247";"Friedrichswalde";"Thomas Philipps Solar GmbH & Co. Friedrichswalde KG";"ABR982763214279";"2/20/2020"
"SEE961914964577";"Althüttendorf Eins";"In Betrieb";"3/28/2012";"5/13/2019";"Solare Strahlungsenergie";"244,3";"244,3";"16247";"Althüttendorf";"Thomas Philipps Solar GmbH & Co. Althüttendorf Eins KG";"ABR956833515955";"3/4/2022"
"SEE993536001941";"Althüttendorf Zwei";"In Betrieb";"3/28/2012";"5/13/2019";"Solare Strahlungsenergie";"244,3";"240";"16247";"Althüttendorf";"Thomas Philipps Solar GmbH & Co. Althüttendorf Zwei KG";"ABR989736264316";"3/2/2020"
"SEE915383859520";"Grüntal, Schönholzer Str., ZAS";"In Betrieb";"3/28/2012";"12/9/2019";"Solare Strahlungsenergie";"166,6";"166";"16230";"Sydower Fließ";"Bürgersolarprojekt Bioenergiehof Buckow2 GmbH & Co. KG";"ABR954223679775";"12/9/2019"
"SEE912967838384";"PVA HS 55_2012";"In Betrieb";"3/28/2012";"12/20/2020";"Solare Strahlungsenergie";"6,72";"4,6";"16244";"Schorfheide";"VS GbR Solar";"ABR947667462164";"12/20/2020"
"SEE917728689793";"Kellerberg";"In Betrieb";"3/29/2012";"5/13/2019";"Solare Strahlungsenergie";"349,83";"341,2";"16247";"Althüttendorf";"Thomas Philipps Solar GmbH & Co. Neugrimnitz KG";"ABR910337829925";"3/2/2020"
"SEE931829749934";"Solaranlage Dach hinten";"In Betrieb";"3/29/2012";"11/30/2019";"Solare Strahlungsenergie";"11,04";"11,04";"16341";"Panketal";"(natürliche Person)";"ABR995475558111";"11/30/2019"
"SEE950713881789";"Hausdach";"In Betrieb";"3/29/2012";"12/16/2019";"Solare Strahlungsenergie";"7,25";"7";"16348";"Wandlitz";"(natürliche Person)";"ABR907261731295";"12/16/2019"
"SEE920345297807";"Rudolf Diesel";"In Betrieb";"3/29/2012";"11/20/2020";"Solare Strahlungsenergie";"17,12";"17,12";"16321";"Bernau";"Bennek Immobilien GmbH";"ABR949864188793";"4/13/2021"
"SEE929159540796";"Stalldach";"In Betrieb";"3/29/2012";"1/21/2021";"Solare Strahlungsenergie";"9,4";"9,4";"16321";"Rüdnitz";"(natürliche Person)";"ABR900268171613";"1/21/2021"
"SEE989572695091";"Ahrensfelde-R2";"In Betrieb";"3/30/2012";"11/21/2019";"Solare Strahlungsenergie";"1,33";"1";"16356";"Ahrensfelde";"(natürliche Person)";"ABR945501665368";"3/18/2020"
"SEE912016928554";"Anlagenzusatz";"In Betrieb";"3/30/2012";"11/22/2019";"Solare Strahlungsenergie";"2,08";"2,08";"16348";"Wandlitz";"(natürliche Person)";"ABR925096602085";"5/17/2022"
"SEE924499511796";"Nebengebäude";"In Betrieb";"3/30/2012";"8/22/2020";"Solare Strahlungsenergie";"11,7";"11,7";"16348";"Wandlitz";"(natürliche Person)";"ABR909205228342";"8/22/2020"
"SEE984024240683";"Mehrzweckhalle";"In Betrieb";"3/30/2012";"1/6/2021";"Solare Strahlungsenergie";"814";"800";"16230";"Britz";"BHL Erneuerbare Energien GbR";"ABR939503152926";"1/11/2021"
"SEE903890814156";"Dach";"In Betrieb";"3/30/2012";"1/29/2021";"Solare Strahlungsenergie";"6,72";"6,72";"16321";"Bernau";"(natürliche Person)";"ABR926320948665";"2/3/2021"
"SEE997886495016";"Hausdach";"In Betrieb";"3/30/2012";"2/22/2021";"Solare Strahlungsenergie";"5";"5";"16348";"Wandlitz";"(natürliche Person)";"ABR977112546149";"7/13/2021"
"SEE904886489167";"Hausdach";"In Betrieb";"3/31/2012";"2/5/2019";"Solare Strahlungsenergie";"5,724";"5,724";"16356";"Ahrensfelde";"(natürliche Person)";"ABR918026598978";"8/6/2019"
"SEE963130683645";"ABR975829716855";"In Betrieb";"3/31/2012";"5/16/2019";"Solare Strahlungsenergie";"6,825";"6";"16341";"Panketal";"(natürliche Person)";"ABR975829716855";"8/12/2021"
"SEE932157267008";"Karsten PV";"In Betrieb";"3/31/2012";"11/22/2019";"Solare Strahlungsenergie";"2,7";"2,7";"16341";"Panketal";"(natürliche Person)";"ABR963638691692";"3/19/2020"
"SEE971435381579";"Sol 1";"In Betrieb";"3/31/2012";"11/26/2019";"Solare Strahlungsenergie";"66,24";"60";"16356";"Ahrensfelde";"Pomona Gartenbau Gmbh & Co KG";"ABR937905831036";"11/26/2019"
"SEE944582576099";"Sol 2";"In Betrieb";"3/31/2012";"11/26/2019";"Solare Strahlungsenergie";"105,6";"102";"16356";"Ahrensfelde";"Pomona Gartenbau Gmbh & Co KG";"ABR937905831036";"11/26/2019"
"SEE972597597327";"Hausdach";"In Betrieb";"3/31/2012";"12/1/2019";"Solare Strahlungsenergie";"9,2";"9,2";"16230";"Chorin";"(natürliche Person)";"ABR982890703981";"3/25/2020"
"SEE993239961658";"Triftstr.";"In Betrieb";"3/31/2012";"12/2/2019";"Solare Strahlungsenergie";"10,25";"7,1";"16230";"Chorin";"(natürliche Person)";"ABR939385586598";"3/23/2020"
"SEE912595682014";"Hauptstr.  7,0";"In Betrieb";"3/31/2012";"12/11/2019";"Solare Strahlungsenergie";"7,02";"7";"16348";"Wandlitz";"(natürliche Person)";"ABR945358144412";"3/27/2020"
"SEE945567217358";"PV-Anlage Hausdach";"In Betrieb";"3/31/2012";"12/17/2019";"Solare Strahlungsenergie";"7,26";"7,26";"16348";"Wandlitz";"(natürliche Person)";"ABR974517036930";"9/20/2021"
"SEE984726955021";"Wiedemann";"In Betrieb";"3/31/2012";"1/20/2020";"Solare Strahlungsenergie";"12,16";"5";"16225";"Eberswalde";"(natürliche Person)";"ABR941080101051";"10/25/2021"
"SEE911138589483";"Hausdach";"In Betrieb";"3/31/2012";"2/29/2020";"Solare Strahlungsenergie";"8,64";"8";"16230";"Chorin";"(natürliche Person)";"ABR944144307802";"2/29/2020"
"SEE992895576947";"DACH";"In Betrieb";"3/31/2012";"5/11/2020";"Solare Strahlungsenergie";"29,7";"29,7";"16348";"Wandlitz";"Norbert Jaunich MSS MARKETING SALES AND SERVICE ENERGY LIMITED";"ABR941436715543";"5/15/2020"
"SEE913704036209";"Sovello";"In Betrieb";"3/31/2012";"5/25/2020";"Solare Strahlungsenergie";"23";"22,5";"16341";"Panketal";"(natürliche Person)";"ABR928350124491";"5/6/2021"
"SEE965257274423";"STIEMTZ19";"In Betrieb";"3/31/2012";"6/21/2020";"Solare Strahlungsenergie";"8,46";"8";"16225";"Eberswalde";"(natürliche Person)";"ABR964657885536";"7/4/2020"
"SEE906435851715";"HausdachPV2";"In Betrieb";"3/31/2012";"6/23/2020";"Solare Strahlungsenergie";"1,9";"1,9";"16341";"Panketal";"(natürliche Person)";"ABR902501470941";"7/1/2020"
"SEE902319417350";"Hausdach";"In Betrieb";"3/31/2012";"11/8/2020";"Solare Strahlungsenergie";"5,55";"5,55";"16225";"Eberswalde";"(natürliche Person)";"ABR944068970274";"3/12/2021"
"SEE957739516473";"Hausdach";"In Betrieb";"3/31/2012";"11/19/2020";"Solare Strahlungsenergie";"5,16";"5,16";"16356";"Werneuchen";"(natürliche Person)";"ABR935684976412";"11/19/2020"
"SEE964596892077";"Werkstatt";"In Betrieb";"3/31/2012";"1/8/2021";"Solare Strahlungsenergie";"6";"6";"16356";"Ahrensfelde";"Tischlerei Henry Schimmelpfennig";"ABR986455234361";"1/10/2021"
"SEE988878893156";"SolarHAUSDACH";"In Betrieb";"3/31/2012";"1/11/2021";"Solare Strahlungsenergie";"5,04";"5,04";"16225";"Eberswalde";"(natürliche Person)";"ABR943073933328";"4/21/2022"
"SEE978504654244";"Haus";"In Betrieb";"3/31/2012";"1/14/2021";"Solare Strahlungsenergie";"6";"6";"16348";"Wandlitz";"(natürliche Person)";"ABR919136122947";"1/14/2021"
"SEE903713155428";"Hausdach";"In Betrieb";"3/31/2012";"12/21/2020";"Solare Strahlungsenergie";"7,5";"7,5";"16227";"Eberswalde";"(natürliche Person)";"ABR995697963830";"7/3/2021"
"SEE943438050370";"PV 10,12 Kwp Werneuchen";"In Betrieb";"3/31/2012";"1/27/2021";"Solare Strahlungsenergie";"10,12";"10";"16356";"Werneuchen";"Daniel Berg";"ABR919559720546";"1/27/2021"
"SEE942249126328";"Solarix-Park FF";"In Betrieb";"3/31/2012";"1/29/2021";"Solare Strahlungsenergie";"30,51";"25";"16244";"Schorfheide";"Dirk und RalfSchönbohm Solarix GbR";"ABR970165060631";"6/9/2021"
"SEE978409203127";"PV-Hausdach";"In Betrieb";"3/31/2012";"3/22/2021";"Solare Strahlungsenergie";"5,25";"4,6";"16341";"Panketal";"(natürliche Person)";"ABR984454136532";"7/14/2021"
"SEE998507893983";"STEFAN";"In Betrieb";"3/31/2012";"4/1/2021";"Solare Strahlungsenergie";"17,28";"12";"16341";"Panketal";"HXT";"ABR971505477416";"4/1/2021"
"SEE938454339332";"pv 2 ptaschnik scheune";"In Betrieb";"3/31/2012";"4/5/2021";"Solare Strahlungsenergie";"46,8";"40";"16356";"Werneuchen";"(natürliche Person)";"ABR902085721699";"7/16/2021"
"SEE940228079092";"Hausdach";"In Betrieb";"3/31/2012";"10/24/2021";"Solare Strahlungsenergie";"6";"6";"16341";"Panketal";"(natürliche Person)";"ABR913519319399";"12/7/2021"
"SEE965718731793";"Haus Wandlitz";"In Betrieb";"3/31/2012";"11/11/2021";"Solare Strahlungsenergie";"5,06";"4";"16348";"Wandlitz";"(natürliche Person)";"ABR992458816367";"11/11/2021"
"SEE960928033132";"E21413";"In Betrieb";"3/31/2012";"11/13/2021";"Solare Strahlungsenergie";"5,75";"5,75";"16341";"Panketal";"(natürliche Person)";"ABR988683622828";"12/24/2021"
"SEE921646502041";"Hausdach";"In Betrieb";"4/3/2012";"11/22/2019";"Solare Strahlungsenergie";"26";"26";"16348";"Wandlitz";"(natürliche Person)";"ABR925096602085";"5/17/2022"
"SEE926640490509";"Hausdach";"In Betrieb";"4/12/2012";"11/22/2019";"Solare Strahlungsenergie";"5,32";"4";"16341";"Panketal";"Blaschke GbR Donald und Andrea";"ABR963856867855";"5/14/2022"
"SEE978877336563";"Hausdach";"In Betrieb";"4/21/2012";"1/21/2020";"Solare Strahlungsenergie";"9,75";"9,75";"16321";"Bernau";"Kerber-Faßbender GbR";"ABR972034458914";"12/11/2020"
"SEE916487846935";"Garagendach";"In Betrieb";"4/30/2012";"3/19/2021";"Solare Strahlungsenergie";"3,99";"3,99";"16321";"Bernau";"(natürliche Person)";"ABR904109655898";"3/29/2021"
"SEE925834533206";"Dachkraftwerk";"In Betrieb";"5/4/2012";"9/21/2021";"Solare Strahlungsenergie";"3,825";"3,6";"16321";"Bernau";"(natürliche Person)";"ABR966946583147";"9/22/2021"
"SEE938897907525";"Bungalowdach";"In Betrieb";"5/15/2012";"5/13/2020";"Solare Strahlungsenergie";"5,52";"4,6";"16356";"Ahrensfelde";"(natürliche Person)";"ABR905384571941";"11/20/2020"
"SEE972074579280";"Hausdach";"In Betrieb";"5/29/2012";"1/6/2020";"Solare Strahlungsenergie";"8,385";"8,3";"16248";"Hohenfinow";"(natürliche Person)";"ABR916511850594";"1/6/2020"
"SEE912889742653";"Hausdach";"In Betrieb";"5/31/2012";"5/8/2020";"Solare Strahlungsenergie";"5";"5";"16356";"Ahrensfelde";"(natürliche Person)";"ABR995310313974";"5/8/2020"
"SEE986406866528";"ABR951559496243";"In Betrieb";"6/1/2012";"11/25/2019";"Solare Strahlungsenergie";"8,46";"7,6";"16244";"Schorfheide";"(natürliche Person)";"ABR951559496243";"11/25/2019"
"SEE935348277909";"E21845 Wintergarten";"In Betrieb";"6/11/2012";"1/19/2021";"Solare Strahlungsenergie";"4,7";"4,7";"16341";"Panketal";"(natürliche Person)";"ABR915717445092";"7/8/2021"
"SEE991834943840";"Photovoltaik";"In Betrieb";"6/15/2012";"11/22/2019";"Solare Strahlungsenergie";"8";"8";"16244";"Schorfheide";"(natürliche Person)";"ABR989265039287";"3/25/2020"
"SEE902411563009";"Solaranlage Hausdach 9c";"In Betrieb";"6/19/2012";"11/22/2019";"Solare Strahlungsenergie";"3,38";"3,38";"16348";"Marienwerder";"(natürliche Person)";"ABR935480821015";"11/22/2019"
"SEE947810604328";"RooliPV";"In Betrieb";"6/20/2012";"11/12/2020";"Solare Strahlungsenergie";"6";"4,5";"16359";"Biesenthal";"(natürliche Person)";"ABR922098070676";"11/12/2020"
"SEE968862652273";"E21935";"In Betrieb";"6/22/2012";"1/23/2021";"Solare Strahlungsenergie";"16,9";"16,9";"16559";"Liebenwalde";"Kfz Thomas Jacob";"ABR941736163051";"7/6/2021"
"SEE943093290371";"PV";"In Betrieb";"6/25/2012";"1/15/2020";"Solare Strahlungsenergie";"6,24";"6";"16227";"Eberswalde";"(natürliche Person)";"ABR954908323719";"1/15/2020"
"SEE919396393224";"Photovoltaik 2012";"In Betrieb";"6/25/2012";"11/20/2020";"Solare Strahlungsenergie";"7,995";"7,995";"16348";"Wandlitz";"(natürliche Person)";"ABR962672553621";"11/20/2020"
"SEE950260734248";"Hausdach";"In Betrieb";"6/26/2012";"4/12/2019";"Solare Strahlungsenergie";"2,5";"2";"16341";"Panketal";"(natürliche Person)";"ABR902449604439";"5/28/2019"
"SEE944057933723";"Scheune Polster";"In Betrieb";"6/26/2012";"12/27/2019";"Solare Strahlungsenergie";"24";"24";"16341";"Panketal";"(natürliche Person)";"ABR973754068056";"12/27/2019"
"SEE972507350400";"Hausdach";"In Betrieb";"6/26/2012";"6/21/2020";"Solare Strahlungsenergie";"9,6";"9,6";"16356";"Werneuchen";"(natürliche Person)";"ABR936261090378";"6/21/2020"
"SEE981100357396";"J.Lehmann";"In Betrieb";"6/27/2012";"12/27/2019";"Solare Strahlungsenergie";"6,345";"6";"16248";"Parsteinsee";"(natürliche Person)";"ABR977532612912";"9/8/2021"
"SEE957003236335";"Solarpark Werneuchen";"In Betrieb";"6/28/2012";"6/28/2019";"Solare Strahlungsenergie";"1751,22";"1751,22";"16356";"Werneuchen";"Solarpark Werneuchen GmbH & Co. KG";"ABR980111272896";"5/5/2020"
"SEE943939306167";"Hausdach";"In Betrieb";"6/28/2012";"1/4/2020";"Solare Strahlungsenergie";"5,28";"5,25";"16230";"Chorin";"GbR Astrid Vogel und Axel Pietschmann";"ABR955118977778";"1/4/2020"
"SEE976056683477";"PV-Anlage Haus";"In Betrieb";"6/28/2012";"1/15/2020";"Solare Strahlungsenergie";"8";"8";"16248";"Oderberg";"(natürliche Person)";"ABR944287505882";"1/15/2020"
"SEE992168363304";"Aufdachanlage Ahrensfelde";"In Betrieb";"6/28/2012";"11/11/2020";"Solare Strahlungsenergie";"8,64";"8,64";"16356";"Ahrensfelde";"(natürliche Person)";"ABR980691977112";"11/16/2020"
"SEE911257422579";"SolarDos2012";"In Betrieb";"6/28/2012";"1/10/2021";"Solare Strahlungsenergie";"5,7";"3";"16321";"Bernau";"(natürliche Person)";"ABR903028701501";"2/4/2021"
"SEE938620386108";"Hausdach";"In Betrieb";"6/29/2012";"2/10/2020";"Solare Strahlungsenergie";"5,145";"4,6";"16321";"Bernau";"(natürliche Person)";"ABR900030063276";"12/29/2020"
"SEE991036294122";"PVA Bernau";"In Betrieb";"6/29/2012";"3/31/2020";"Solare Strahlungsenergie";"168,48";"168,48";"16321";"Bernau";"Holz-Zentrum Theile Bernau GmbH & Co.KG";"ABR989244957359";"2/9/2021"
"SEE960450100340";"Carport";"In Betrieb";"6/29/2012";"1/4/2021";"Solare Strahlungsenergie";"3";"3";"16348";"Wandlitz";"(natürliche Person)";"ABR980996398742";"1/4/2021"
"SEE945270560246";"Sonne in Schönholz2";"In Betrieb";"6/30/2012";"6/25/2019";"Solare Strahlungsenergie";"4,5";"4,5";"16230";"Melchow";"(natürliche Person)";"ABR921869474996";"6/25/2019"
"SEE947650113141";"Bernau n";"In Betrieb";"6/30/2012";"9/25/2019";"Solare Strahlungsenergie";"88,5";"88,5";"16321";"Bernau";"AS Sunpower 3 GmbH & Co. KG";"ABR927492460702";"9/25/2019"
"SEE909061893562";"PVA Schofrheide";"In Betrieb";"6/30/2012";"1/7/2021";"Solare Strahlungsenergie";"316,545";"295";"16244";"Schorfheide";"Solarland GmbH";"ABR934551978924";"6/17/2021"
"SEE933364218142";"Dachanlage";"In Betrieb";"6/30/2012";"11/6/2020";"Solare Strahlungsenergie";"165,12";"165";"16359";"Biesenthal";"Scheib Holzendorff GbR";"ABR925488127417";"1/12/2021"
"SEE967021694871";"hausdach";"In Betrieb";"6/30/2012";"11/12/2020";"Solare Strahlungsenergie";"10";"10";"16244";"Schorfheide";"(natürliche Person)";"ABR956498973411";"11/12/2020"
"SEE988867255286";"PV Invest Projekt I UG";"In Betrieb";"6/30/2012";"12/30/2020";"Solare Strahlungsenergie";"887,36";"887,36";"16321";"Bernau";"PV Invest Projekt II UG & Co.KG";"ABR930112377748";"12/30/2020"
"SEE905905275211";"Dach";"In Betrieb";"7/1/2012";"11/21/2019";"Solare Strahlungsenergie";"7,8";"7,8";"16248";"Lunow-Stolzenhagen";"(natürliche Person)";"ABR953350530324";"11/21/2019"
"SEE908134527205";"Carport";"In Betrieb";"7/3/2012";"5/25/2020";"Solare Strahlungsenergie";"5";"5";"16341";"Panketal";"(natürliche Person)";"ABR960300462895";"6/8/2020"
"SEE927643988567";"Garage";"In Betrieb";"7/13/2012";"11/6/2019";"Solare Strahlungsenergie";"29,67";"27,6";"16248";"Parsteinsee";"M & N GmbH Lüdersdorf";"ABR989854672253";"10/13/2020"
"SEE933475242968";"Photovoltaik Kieferneck";"In Betrieb";"7/16/2012";"11/22/2019";"Solare Strahlungsenergie";"6,435";"6,435";"16244";"Schorfheide";"(natürliche Person)";"ABR982656915214";"12/22/2020"
"SEE915250930505";"Photo_01";"In Betrieb";"7/18/2012";"12/28/2019";"Solare Strahlungsenergie";"10";"10";"16356";"Ahrensfelde";"(natürliche Person)";"ABR957394463099";"12/28/2019"
"SEE961342522394";"Keiner";"In Betrieb";"7/24/2012";"1/14/2020";"Solare Strahlungsenergie";"3,6";"2,2";"16341";"Panketal";"(natürliche Person)";"ABR956951423361";"1/14/2020"
"SEE921289991080";"16321 Bernau, Zepernicker Straße 29 - PVA";"In Betrieb";"7/25/2012";"6/17/2020";"Solare Strahlungsenergie";"9,8";"8";"16321";"Bernau";"(natürliche Person)";"ABR957714347979";"4/14/2021"
"SEE925575159659";"Werkstatt-Neugrimnitz";"In Betrieb";"7/27/2012";"11/5/2019";"Solare Strahlungsenergie";"28,8";"28,8";"16247";"Althüttendorf";"Thomas Philipps Solar GmbH & Co. Stegelitz KG";"ABR967637047771";"5/8/2021"
"SEE938538287498";"Hausdach";"In Betrieb";"7/27/2012";"11/8/2020";"Solare Strahlungsenergie";"8,4";"8,4";"16341";"Panketal";"(natürliche Person)";"ABR945114279105";"11/8/2020"
"SEE921167411976";"Hausdach";"In Betrieb";"7/27/2012";"3/31/2021";"Solare Strahlungsenergie";"6,8";"6,8";"16356";"Werneuchen";"(natürliche Person)";"ABR990122932375";"7/15/2021"
"SEE953773620725";"Hausdach";"In Betrieb";"8/15/2012";"5/14/2020";"Solare Strahlungsenergie";"3";"3";"16348";"Wandlitz";"(natürliche Person)";"ABR936503170554";"5/16/2020"
"SEE950204610713";"DACHOST";"In Betrieb";"8/16/2012";"11/5/2020";"Solare Strahlungsenergie";"4,875";"4,6";"16225";"Eberswalde";"(natürliche Person)";"ABR919767935039";"12/7/2021"
"SEE919536361205";"Hausdach";"In Betrieb";"8/16/2012";"11/5/2020";"Solare Strahlungsenergie";"5,145";"5,145";"16225";"Eberswalde";"(natürliche Person)";"ABR942178307027";"11/5/2020"
"SEE962943893807";"Hausdach Altgebäude";"In Betrieb";"8/17/2012";"9/10/2020";"Solare Strahlungsenergie";"4,23";"4,23";"16227";"Eberswalde";"(natürliche Person)";"ABR953663212696";"9/10/2020"
"SEE994501851417";"Garagendach";"In Betrieb";"8/22/2012";"11/10/2020";"Solare Strahlungsenergie";"7,8";"7,8";"16356";"Werneuchen";"(natürliche Person)";"ABR926727311475";"11/10/2020"
"SEE997206061457";"PV";"In Betrieb";"8/23/2012";"1/26/2020";"Solare Strahlungsenergie";"8,48";"8";"16321";"Bernau";"(natürliche Person)";"ABR926432935430";"1/15/2021"
"SEE942575963765";"Hausdach und Carport";"In Betrieb";"8/23/2012";"10/26/2021";"Solare Strahlungsenergie";"7,2";"7,2";"16248";"Oderberg";"(natürliche Person)";"ABR973499064368";"12/21/2021"
"SEE950544381106";"16321 Bernau, Dorfstraße 42 - PVA I";"In Betrieb";"8/24/2012";"6/17/2020";"Solare Strahlungsenergie";"9,8";"8";"16321";"Bernau";"(natürliche Person)";"ABR957714347979";"4/14/2021"
"SEE935213928790";"PV-Anlage Garage";"In Betrieb";"8/28/2012";"11/21/2019";"Solare Strahlungsenergie";"4,9";"3,6";"16341";"Panketal";"(natürliche Person)";"ABR949219150390";"11/21/2019"
"SEE905412432077";"Photovoltaik";"In Betrieb";"8/28/2012";"11/3/2020";"Solare Strahlungsenergie";"3";"3";"16356";"Ahrensfelde";"(natürliche Person)";"ABR950068704412";"11/3/2020"
"SEE915783185847";"abr900403075028";"In Betrieb";"8/28/2012";"11/21/2020";"Solare Strahlungsenergie";"10,2";"10,2";"16356";"Werneuchen";"(natürliche Person)";"ABR900403075028";"11/21/2020"
"SEE963840620633";"Hausdach";"In Betrieb";"8/29/2012";"11/23/2019";"Solare Strahlungsenergie";"4,29";"4,2";"16341";"Panketal";"(natürliche Person)";"ABR959676930312";"11/23/2019"
"SEE904945437566";"Sonne auf unserem Dach in Wandlitz";"In Betrieb";"8/30/2012";"3/29/2020";"Solare Strahlungsenergie";"8,19";"5";"16348";"Wandlitz";"(natürliche Person)";"ABR908604697414";"3/31/2020"
"SEE920667024945";"Garage";"In Betrieb";"8/30/2012";"5/5/2020";"Solare Strahlungsenergie";"4,7";"4,6";"16348";"Marienwerder";"(natürliche Person)";"ABR906194954115";"5/5/2020"
"SEE974531348422";"Bungalow EFH";"In Betrieb";"8/30/2012";"1/14/2021";"Solare Strahlungsenergie";"3,36";"3,36";"16244";"Schorfheide";"(natürliche Person)";"ABR910864112132";"6/22/2021"
"SEE968936097306";"Hausdach 1";"In Betrieb";"8/31/2012";"11/23/2019";"Solare Strahlungsenergie";"5,2";"4,6";"16348";"Marienwerder";"(natürliche Person)";"ABR937372232381";"5/5/2020"
"SEE970567007319";"Regine";"In Betrieb";"8/31/2012";"10/30/2020";"Solare Strahlungsenergie";"7,92";"7,92";"16227";"Eberswalde";"(natürliche Person)";"ABR981498399787";"4/25/2022"
"SEE998242513832";"PVA BrB 01";"In Betrieb";"8/31/2012";"12/20/2020";"Solare Strahlungsenergie";"8,64";"8,64";"16227";"Eberswalde";"Consulting & Engineering";"ABR982774753330";"12/20/2020"
"SEE972942527979";"Photovaltaikanlage Mehrower Str. 4b";"In Betrieb";"8/31/2012";"1/3/2021";"Solare Strahlungsenergie";"7,905";"7,905";"16356";"Ahrensfelde";"(natürliche Person)";"ABR957832754949";"1/3/2021"
"SEE999677872914";"Carport";"In Betrieb";"9/3/2012";"1/29/2020";"Solare Strahlungsenergie";"4,5";"4,5";"16359";"Biesenthal";"(natürliche Person)";"ABR936918997258";"1/29/2020"
"SEE992586185625";"PV Voltaik";"In Betrieb";"9/3/2012";"12/1/2020";"Solare Strahlungsenergie";"4,935";"4,935";"16227";"Eberswalde";"(natürliche Person)";"ABR935492248879";"5/27/2021"
"SEE993584260284";"Hausdach";"In Betrieb";"9/17/2012";"4/2/2019";"Solare Strahlungsenergie";"5,39";"4";"16244";"Schorfheide";"(natürliche Person)";"ABR986035913709";"5/28/2019"
"SEE978209962996";"Solar5";"In Betrieb";"9/17/2012";"12/4/2019";"Solare Strahlungsenergie";"3,75";"0,99";"16356";"Ahrensfelde";"(natürliche Person)";"ABR912909082783";"3/24/2020"
"SEE959326746188";"Sonnenpower";"In Betrieb";"9/19/2012";"2/18/2019";"Solare Strahlungsenergie";"7,68";"7,68";"16356";"Ahrensfelde";"(natürliche Person)";"ABR936821411445";"8/8/2019"
"SEE903033551603";"PV Jo";"In Betrieb";"9/19/2012";"12/18/2019";"Solare Strahlungsenergie";"81,6";"28,6";"16247";"Joachimsthal";"(natürliche Person)";"ABR977991045054";"3/27/2020"
"SEE980382463528";"Datscha";"In Betrieb";"9/21/2012";"11/28/2020";"Solare Strahlungsenergie";"9,36";"8,2";"16348";"Wandlitz";"(natürliche Person)";"ABR931386417680";"3/19/2021"
"SEE969593489237";"Wicherts Strom";"In Betrieb";"9/22/2012";"12/4/2019";"Solare Strahlungsenergie";"3,45";"3,45";"16359";"Biesenthal";"(natürliche Person)";"ABR937441517777";"3/24/2020"
"SEE932364836219";"wohnhaus";"In Betrieb";"9/25/2012";"6/14/2020";"Solare Strahlungsenergie";"4,1";"4";"16341";"Panketal";"(natürliche Person)";"ABR917346676359";"6/14/2020"
"SEE977042292130";"Photovoltaik";"In Betrieb";"9/25/2012";"10/25/2021";"Solare Strahlungsenergie";"5";"5";"16341";"Panketal";"(natürliche Person)";"ABR964532195583";"10/25/2021"
"SEE959125115628";"Dachanlage";"In Betrieb";"9/26/2012";"10/29/2019";"Solare Strahlungsenergie";"7,995";"7,995";"16356";"Ahrensfelde";"(natürliche Person)";"ABR994824322755";"10/29/2019"
