"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Postleitzahl";"Ort";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Letzte Aktualisierung"
"SEE932470964165";"Sol 2016";"In Betrieb";"4/20/2016";"12/9/2020";"Solare Strahlungsenergie";"8,16";"7,2";"16248";"Niederfinow";"(natürliche Person)";"ABR953651425657";"5/5/2021"
"SEE980248227745";"PV-Dach";"In Betrieb";"4/20/2016";"11/11/2020";"Solare Strahlungsenergie";"5,1";"3,6";"16356";"Ahrensfelde";"(natürliche Person)";"ABR939777075716";"11/11/2020"
"SEE990402023816";"Solaranlage";"In Betrieb";"4/25/2016";"2/4/2020";"Solare Strahlungsenergie";"5,13";"5";"16230";"Britz";"(natürliche Person)";"ABR966339991108";"2/4/2020"
"SEE981251998769";"Hausdach";"In Betrieb";"4/27/2016";"7/2/2020";"Solare Strahlungsenergie";"5,13";"5,13";"16225";"Eberswalde";"(natürliche Person)";"ABR916431716666";"7/2/2020"
"SEE904062819047";"Remise";"In Betrieb";"4/27/2016";"12/30/2020";"Solare Strahlungsenergie";"10";"10";"16348";"Wandlitz";"(natürliche Person)";"ABR930899497578";"12/30/2020"
"SEE979735677156";"PV Schuppen KULO";"In Betrieb";"4/28/2016";"3/9/2019";"Solare Strahlungsenergie";"4,77";"3,8";"16321";"Bernau";"(natürliche Person)";"ABR984722176666";"12/12/2020"
"SEE990442219279";"Hausdach";"In Betrieb";"4/28/2016";"1/7/2021";"Solare Strahlungsenergie";"5,2";"4,6";"16356";"Ahrensfelde";"(natürliche Person)";"ABR958877121697";"6/22/2021"
"SEE963214840117";"PV Anlage Wohnhaus";"In Betrieb";"4/30/2016";"2/28/2019";"Solare Strahlungsenergie";"9,88";"7";"16247";"Friedrichswalde";"(natürliche Person)";"ABR918784809439";"5/13/2020"
"SEE934124420072";"PV-Anlage";"In Betrieb";"5/3/2016";"7/14/2020";"Solare Strahlungsenergie";"6,96";"6,96";"16348";"Wandlitz";"(natürliche Person)";"ABR996873327668";"7/14/2020"
"SEE991598240346";"Hausdach";"In Betrieb";"5/9/2016";"2/23/2019";"Solare Strahlungsenergie";"6,885";"6,885";"16348";"Wandlitz";"(natürliche Person)";"ABR949010619706";"8/13/2019"
