,index,landkreis_id,landkreis,biomasse,geoSolarthermieGrubenKlaerschlammDruckentspannung,kernkraft,solar,verbrennung,wasser,wind,renewable_total,not_renewable_total,percRenewableinRegion
79,79,8316,Emmendingen,6387.5,119.0,0.0,143659.828,8569.882,3859.6,32668.5,186694.428,8569.882,95.61113753967633
80,80,3454,Emsland,171611.3,50.0,1406000.0,613508.6,2842350.048,150.0,1194218.7,1979538.5999999999,4248350.048,31.785067329932133
81,81,5954,Ennepe-Ruhr-Kreis,4045.0,0.0,0.0,57014.971,450687.28,10781.0,5562.5,77403.47099999999,450687.28,14.65722905645056
82,82,8236,Enzkreis,3027.62,220.0,0.0,124057.60800000001,9526.28,5551.3,4.0,132860.52800000002,9526.28,93.30957682540367
83,83,9177,Erding,55396.6,0.0,0.0,165749.567,95149.32999999999,82442.18,96.48,303684.827,95149.32999999999,76.14313409972054
84,84,16051,Erfurt,2096.5,808.0,0.0,62350.034,140784.87,1033.77,35500.0,101788.304,140784.87,41.96189641316232
85,85,9562,Erlangen,464.5,0.0,0.0,31132.365,60352.72,1053.0,0.0,32649.865,60352.72,35.10640591334101
86,86,9572,Erlangen-Höchstadt,10196.5,120.0,0.0,131132.065,17960.92,1685.97,35651.5,178786.035,17960.92,90.87105566640155
87,87,14521,Erzgebirgskreis,12500.0,340.0,0.0,149821.698,32192.146,28278.7,75603.6,266543.998,32192.146,89.22388648090738
88,88,5113,Essen,6524.0,0.0,0.0,44456.638,73482.54000000001,16632.0,0.0,67612.638,73482.54000000001,47.91987859429186
89,89,8116,Esslingen,4025.3,264.0,0.0,172241.511,1121020.2,16166.76,2251.5,194949.071,1121020.2,14.814105108385926
90,90,5366,Euskirchen,17882.0,2727.18,0.0,160962.201,62243.17,1617.9,223074.0,406263.281,62243.17,86.71455433171826
91,91,1001,Flensburg,0.0,0.0,0.0,19221.816,191602.0,3.5,39710.0,58935.316,191602.0,23.523568042055658
92,92,9474,Forchheim,13309.0,0.0,0.0,102983.539,8189.71,9303.0,1504.6,127100.13900000001,8189.71,93.94654509519039
93,93,7311,Frankenthal (Pfalz),0.0,0.0,0.0,18295.705,1097.2,0.0,0.0,18295.705,1097.2,94.34226073917239
94,94,12053,Frankfurt (Oder),2211.9,0.0,0.0,36485.719,74753.05500000001,0.0,21600.0,60297.619,74753.05500000001,44.64814370345164
95,95,6412,Frankfurt am Main,20898.0,5105.5,0.0,50011.582,1197640.63,10430.0,0.0,86445.082,1197640.63,6.732033632346811
96,96,8311,Freiburg im Breisgau,7545.0,5.5,0.0,56305.134,110534.51699999999,812.1,9000.0,73667.734,110534.51699999999,39.99285220461285
97,97,9178,Freising,49702.1,0.0,0.0,239742.709,601077.08,72990.6,5330.0,367765.409,601077.08,37.95925686326914
98,98,8237,Freudenstadt,16515.0,0.0,0.0,112441.779,15025.04,4940.6,20900.0,154797.37900000002,15025.04,91.15249912910497
99,99,9272,Freyung-Grafenau,6575.01,83.6,0.0,144315.968,4447.3,29866.45,234.75,181075.77800000002,4447.3,97.60283192369201
100,100,3455,Friesland,18143.0,0.0,0.0,70148.115,71152.727,0.0,331895.4,420186.515,71152.727,85.51861505904306
101,101,6631,Fulda,12555.5,145.0,0.0,214633.905,101642.13,1725.62,56192.0,285252.025,101642.13,73.72869848602392
102,102,9179,Fürstenfeldbruck,10573.5,0.0,0.0,128460.669,17996.845,3725.0,6106.0,148865.169,17996.845,89.21453447157842
103,103,9563,Fürth,6690.9,0.0,0.0,31915.022,6500.2,1395.0,0.0,40000.922,6500.2,86.02141255860451
104,104,9180,Garmisch-Partenkirchen,8521.0,55.0,0.0,42839.876,10645.4,7574.1,0.0,58989.975999999995,10645.4,84.71265524580495
105,105,5513,Gelsenkirchen,2361.0,24135.0,0.0,27083.624,824783.51,0.0,4600.0,58179.623999999996,824783.51,6.589133992088055
106,106,16052,Gera,2921.0,0.0,0.0,31148.534,43892.212,400.0,10650.0,45119.534,43892.212,50.68941575418597
107,107,7334,Germersheim,4134.0,100.0,0.0,81168.939,86293.155,349.0,75200.0,160951.939,86293.155,65.09813254373411
108,108,6531,Gießen,1000.1,0.0,0.0,122838.613,69947.95,546.5,43420.0,167805.21300000002,69947.95,70.57959224710714
109,109,3151,Gifhorn,47108.4,0.0,0.0,81743.645,8535.78,615.9,173100.0,302567.945,8535.78,97.25629128998695
110,110,3153,Goslar,14305.0,95.0,0.0,71532.752,20107.258,10041.4,24381.5,120355.65199999999,20107.258,85.6850053868313
111,111,16067,Gotha,8025.0,0.0,0.0,121365.895,27881.18,1984.0,171241.75,302616.645,27881.18,91.56388396807151
112,112,3456,Grafschaft Bentheim,81322.4,0.0,0.0,190657.5,19072.539999999997,0.0,194619.8,466599.69999999995,19072.539999999997,96.07296064522856
113,113,16076,Greiz,16242.5,1.1,0.0,148064.158,11180.5,1566.2,49102.0,214975.958,11180.5,95.05629859130532
114,114,6433,Groß-Gerau,2515.0,65.0,0.0,116732.554,264546.81,5400.0,0.0,124712.554,264546.81,32.03842104617938
115,115,8117,Göppingen,12375.0,928.0,0.0,141104.186,46543.759,6610.68,108970.0,269987.866,46543.759,85.29570023216479
116,116,14626,Görlitz,41850.2,591.0,0.0,250785.066,2664363.6,4145.0,198492.6,495863.866,2664363.6,15.690765026722286
117,117,3159,Göttingen,26547.0,30.0,0.0,180269.737,86235.65,17332.2,113700.0,337878.93700000003,86235.65,79.66689837055758
118,118,9774,Günzburg,25774.4,98.0,0.0,253590.487,13633.87,35616.3,7213.8,322292.987,13633.87,95.94141709247141
119,119,5754,Gütersloh,57450.46,200.0,0.0,251763.675,79663.533,121.7,85976.0,395511.835,79663.533,83.23491949187063
120,120,5914,Hagen,21349.0,0.0,0.0,19545.136,19470.75,5119.0,19000.0,65013.136,19470.75,76.95329734240681
121,121,15002,Halle (Saale),1316.0,1914.0,0.0,70853.535,279842.29,2250.0,63602.7,139936.235,279842.29,33.335729835155334
122,122,2000,Hamburg,45973.7,5200.0,0.0,83557.864,603128.889,120.0,118699.8,253551.364,603128.889,29.596966092318695
123,123,3252,Hameln-Pyrmont,53503.0,0.0,0.0,63424.829,62450.77,3911.2,157704.6,278543.629,62450.77,81.68569038578255
124,124,5915,Hamm,3619.0,10840.0,0.0,55240.227,886215.3099999999,1403.0,32858.5,103960.727,886215.3099999999,10.49921661556025
