,landkreis,biomasse,geoSolarthermieGrubenKlaerschlammDruckentspannung,kernkraft,solar,verbrennung,wasser,wind,renewable_total,not_renewable_total,percRenewableinRegion
85,Erlangen-Höchstadt,10196.5,120.0,0.0,131246.065,17960.92,1685.97,35651.5,178900.035,17960.92,90.87634213701746
86,Erzgebirgskreis,12500.0,340.0,0.0,149901.128,32192.146,28593.7,75603.6,266938.428,32192.146,89.23809573540952
87,Essen,6524.0,0.0,0.0,44456.638,73482.54000000001,16632.0,0.0,67612.638,73482.54000000001,47.91987859429186
88,Esslingen,4025.3,264.0,0.0,173847.761,1121020.2,16166.76,2251.5,196555.321,1121020.2,14.917954824389913
89,Euskirchen,17882.0,2727.18,0.0,161655.031,62243.17,1617.9,223074.0,406956.111,62243.17,86.73417191361808
90,Flensburg,0.0,0.0,0.0,19221.816,191602.0,3.5,39710.0,58935.316,191602.0,23.523568042055658
91,Forchheim,13309.0,0.0,0.0,103167.109,8189.71,9303.0,1504.6,127283.709,8189.71,93.95474768375043
92,Frankenthal (Pfalz),0.0,0.0,0.0,18295.705,1097.2,0.0,0.0,18295.705,1097.2,94.34226073917239
93,Frankfurt (Oder),2211.9,0.0,0.0,36485.719,74753.05500000001,0.0,21600.0,60297.619,74753.05500000001,44.64814370345164
94,Frankfurt am Main,20898.0,5105.5,0.0,50011.582,1197640.63,10430.0,0.0,86445.082,1197640.63,6.732033632346811
95,Freiburg im Breisgau,7545.0,5.5,0.0,56609.134,110534.51699999999,812.1,9000.0,73971.734,110534.51699999999,40.09172242083007
96,Freising,49702.1,0.0,0.0,239844.299,601077.08,72990.6,5330.0,367866.99899999995,601077.08,37.96576159272861
97,Freudenstadt,16515.0,0.0,0.0,112706.909,15025.04,4940.6,20900.0,155062.50900000002,15025.04,91.16629048490786
98,Freyung-Grafenau,7185.01,83.6,0.0,144732.798,4447.3,29866.45,234.75,182102.60800000004,4447.3,97.61602669887138
99,Friesland,18143.0,0.0,0.0,70246.235,71152.727,0.0,333295.4,421684.635,71152.727,85.56263536691847
100,Fulda,12555.5,145.0,0.0,214633.905,101642.13,1725.62,56192.0,285252.025,101642.13,73.72869848602392
101,Fürstenfeldbruck,10573.5,0.0,0.0,128824.849,17996.845,3725.0,6106.0,149229.349,17996.845,89.23802272268422
102,Fürth,6690.9,0.0,0.0,31915.022,6500.2,1395.0,0.0,40000.922,6500.2,86.02141255860451
103,Garmisch-Partenkirchen,8521.0,55.0,0.0,42839.876,10645.4,7574.1,0.0,58989.975999999995,10645.4,84.71265524580495
104,Gelsenkirchen,2361.0,24135.0,0.0,27830.084,824783.51,0.0,4600.0,58926.084,824783.51,6.66803714705399
105,Gera,2921.0,0.0,0.0,31148.534,43892.212,400.0,10650.0,45119.534,43892.212,50.68941575418597
106,Germersheim,4134.0,100.0,0.0,81206.739,86293.155,349.0,75200.0,160989.739,86293.155,65.10346769073318
107,Gießen,1000.1,0.0,0.0,122880.053,69947.95,546.5,43420.0,167846.65300000002,69947.95,70.58471928397803
108,Gifhorn,47108.4,0.0,0.0,81774.765,8535.78,615.9,173100.0,302599.065,8535.78,97.25656571831418
109,Goslar,14305.0,95.0,0.0,71592.212,20107.258,10041.4,24381.5,120415.112,20107.258,85.69106256889917
110,Gotha,8025.0,0.0,0.0,121365.895,27881.18,1984.0,171241.75,302616.645,27881.18,91.56388396807151
111,Grafschaft Bentheim,81322.4,0.0,0.0,217736.36,19072.539999999997,0.0,194619.8,493678.55999999994,19072.539999999997,96.28035122694033
112,Greiz,16242.5,1.1,0.0,148128.948,11180.5,1566.2,49102.0,215040.74800000002,11180.5,95.05771447251497
113,Groß-Gerau,2515.0,65.0,0.0,116826.514,264546.81,5400.0,0.0,124806.514,264546.81,32.05482175362139
114,Göppingen,12375.0,928.0,0.0,141104.186,46543.759,6610.68,108970.0,269987.866,46543.759,85.29570023216479
115,Görlitz,42399.2,591.0,0.0,252872.426,2664363.6,4871.0,202342.6,503076.226,2664363.6,15.88273980362587
116,Göttingen,26547.0,30.0,0.0,180277.237,86645.65,17332.2,114000.0,338186.43700000003,86645.65,79.60473028017773
117,Günzburg,27335.4,98.0,0.0,253841.287,13633.87,35616.3,7213.8,324104.787,13633.87,95.96318937218965
118,Gütersloh,57450.46,200.0,0.0,252265.76,79663.533,121.7,87176.0,397213.92000000004,79663.533,83.29475790921909
119,Hagen,21349.0,0.0,0.0,19545.136,19470.75,5119.0,19000.0,65013.136,19470.75,76.95329734240681
120,Halle (Saale),1316.0,1914.0,0.0,70853.535,279842.29,2250.0,63602.7,139936.235,279842.29,33.335729835155334
121,Hamburg,45973.7,5200.0,0.0,83609.344,605207.889,120.0,118699.8,253602.84399999998,605207.889,29.529538262070133
122,Hameln-Pyrmont,53503.0,0.0,0.0,63424.829,62450.77,3911.2,157704.6,278543.629,62450.77,81.68569038578255
123,Hamm,3619.0,10840.0,0.0,55524.297,886215.3099999999,1403.0,40858.5,112244.79699999999,886215.3099999999,11.241790855045148
124,Harburg,27677.0,306.0,0.0,72469.677,10000.398,295.0,207604.5,308352.177,10000.398,96.85870359302105
125,Harz,29520.0,0.0,0.0,283613.744,17279.47,8790.5,246680.0,568604.244,17279.47,97.05069972298291
126,Havelland,20196.0,0.0,0.0,243032.108,42265.762,0.0,319400.0,582628.108,42265.762,93.23632955464902
127,Haßberge,17031.3,0.0,0.0,252792.224,67926.97,13412.56,37151.98,320388.06399999995,67926.97,82.50725208851944
128,Heidekreis,69390.0,0.0,0.0,87665.492,25785.205,1457.5,358625.0,517137.99199999997,25785.205,95.25067170780696
129,Heidelberg,6992.0,794.0,0.0,27503.102,19484.77,6460.0,0.0,41749.102,19484.77,68.17975188634159
130,Heidenheim,30544.0,0.0,0.0,155254.618,194631.33000000002,2832.0,139702.043,328332.66099999996,194631.33000000002,62.78303413819556
131,Heilbronn,3884.0,2310.0,0.0,40826.507,1116200.03,6615.0,0.0,53635.507,1116200.03,4.584875848236434
132,Heinsberg,17670.4,15.0,0.0,162348.23,9649.89,0.0,238590.0,418623.63,9649.89,97.74679275057679
133,Helmstedt,16602.0,0.0,0.0,45012.315,55567.68,0.0,150700.0,212314.315,55567.68,79.25665739498469
134,Herford,9599.0,155.0,0.0,118548.612,166261.24,354.5,36024.5,164681.612,166261.24,49.761344293968925
135,Herne,0.0,1350.0,0.0,13601.979,514808.55,0.0,0.0,14951.979,514808.55,2.8224033655780345
136,Hersfeld-Rotenburg,7580.5,0.0,0.0,124665.83,250658.27,4590.5,155940.0,292776.83,250658.27,53.87521527409621
