"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Postleitzahl";"Ort";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Letzte Aktualisierung"
"SEE974748954997";"Batteriespeicher";"In Betrieb";"10/22/2014";"12/30/2021";"Speicher";"2";"2";"16230";"Breydin";"(natürliche Person)";"ABR911295675388";"2/28/2022"
"SEE975540190446";"BSP6900";"In Betrieb";"11/11/2014";"6/28/2020";"Speicher";"2,2";"2,2";"16225";"Eberswalde";"(natürliche Person)";"ABR945058567047";"5/10/2021"
"SEE919279472558";"Batterie";"In Betrieb";"11/13/2014";"6/19/2020";"Speicher";"4,8";"4";"16348";"Wandlitz";"(natürliche Person)";"ABR905570036285";"5/3/2021"
"SEE984878531449";"BHKW XRGI 15";"In Betrieb";"11/17/2014";"1/27/2021";"andere Gase";"15";"15";"16321";"Bernau";"Wasch- und Tankcenter Weise GbR";"ABR947530863319";"2/2/2021"
"SEE938099009096";"Solarstrom";"In Betrieb";"11/27/2014";"5/15/2019";"Speicher";"8,2";"7";"16356";"Ahrensfelde";"(natürliche Person)";"ABR992460627722";"5/28/2019"
"SEE938441201208";"PV-Speicher";"In Betrieb";"12/11/2014";"12/17/2019";"Speicher";"2,2";"2,2";"16244";"Schorfheide";"(natürliche Person)";"ABR906929140998";"12/17/2019"
"SEE947804154440";"Speicher";"In Betrieb";"12/18/2014";"3/23/2021";"Speicher";"6";"6";"16321";"Bernau";"(natürliche Person)";"ABR945882266499";"3/30/2021"
"SEE998781128283";"Windkraftanlage Klosterfelde I";"In Betrieb";"12/30/2014";"8/9/2019";"Wind";"3050";"3050";"16348";"Wandlitz";"IFE Windkraftanlagen Klosterfelde GmbH& Co. Betriebs KG";"ABR924034588696";"8/16/2021"
"SEE921679608598";"WEA 01 - eno 920033";"In Betrieb";"12/30/2014";"1/15/2021";"Wind";"2200";"2200";"17268";"Templin";"Windpark Kohlenberge GmbH & Co. KG";"ABR960034284572";"1/25/2021"
"SEE914546471104";"Speicher";"In Betrieb";"1/14/2015";"4/1/2021";"Speicher";"7,5";"7,5";"16356";"Ahrensfelde";"(natürliche Person)";"ABR985746362530";"4/1/2021"
"SEE942145499700";"BHKW 20 kW Wandlitz OT Klosterfelde, Klosterfelder Hauptstraße 40b";"In Betrieb";"2/9/2015";"7/28/2020";"Erdgas";"20";"20";"16348";"Wandlitz";"Danpower Energie Service GmbH";"ABR905920218880";"8/27/2020"
"SEE925292984343";"Solarspeicher";"In Betrieb";"2/19/2015";"1/11/2021";"Speicher";"5,94";"5,5";"16356";"Ahrensfelde";"(natürliche Person)";"ABR960808952546";"1/11/2021"
"SEE999024936191";"BHKW Eberswalde 2";"In Betrieb";"3/13/2015";"12/7/2020";"Erdgas";"15,2";"15,2";"16225";"Eberswalde";"e.distherm Wärmedienstleistungen GmbH";"ABR972036277445";"8/23/2021"
"SEE916033767233";"KW Schönerlinde MGT 2";"In Betrieb";"3/26/2015";"5/8/2019";"andere Gase";"200";"200";"16348";"Wandlitz";"Berliner Wasserbetriebe";"ABR990752860598";"7/14/2021"
"SEE975245161086";"Speicher";"In Betrieb";"3/30/2015";"7/6/2020";"Speicher";"1,5";"1,5";"16348";"Wandlitz";"(natürliche Person)";"ABR932687308325";"5/3/2021"
"SEE926012407395";"Speicher";"In Betrieb";"3/31/2015";"3/24/2021";"Speicher";"4,6";"4,6";"16321";"Bernau";"Krüger-Bau-Bernau GmbH";"ABR940787149656";"3/30/2021"
"SEE947701553094";"Andreassolarspeicher";"In Betrieb";"4/20/2015";"12/20/2019";"Speicher";"2";"2";"16356";"Ahrensfelde";"(natürliche Person)";"ABR900478609975";"12/20/2019"
"SEE906538851384";"Batterie Solar";"In Betrieb";"4/28/2015";"6/11/2020";"Speicher";"2";"2";"16356";"Ahrensfelde";"(natürliche Person)";"ABR961119352995";"6/11/2020"
"SEE958863855261";"Batterie";"In Betrieb";"4/29/2015";"12/5/2020";"Speicher";"18";"8";"16230";"Sydower Fließ";"(natürliche Person)";"ABR949536020833";"12/5/2020"
"SEE965874436549";"Terrassendachbatterie";"In Betrieb";"5/15/2015";"6/28/2020";"Speicher";"2";"2";"16244";"Schorfheide";"(natürliche Person)";"ABR915509037641";"5/3/2021"
"SEE901721087359";"Kraftwerk christian";"In Betrieb";"6/5/2015";"3/21/2021";"Speicher";"2";"2";"16321";"Bernau";"(natürliche Person)";"ABR968486939149";"3/30/2021"
"SEE955372094143";"Sonnenbatterie";"In Betrieb";"6/22/2015";"7/1/2020";"Speicher";"3,5";"3,5";"16230";"Breydin";"(natürliche Person)";"ABR956520885309";"7/1/2020"
"SEE951850481061";"Sunny Boy 3600";"In Betrieb";"6/24/2015";"2/26/2021";"Speicher";"2";"2";"16321";"Bernau";"(natürliche Person)";"ABR929652052659";"3/2/2021"
"SEE968065351973";"Sonnendach-Speicher";"In Betrieb";"7/7/2015";"10/21/2020";"Speicher";"2,3";"2,3";"16321";"Bernau";"(natürliche Person)";"ABR936285288423";"1/15/2021"
"SEE951372291315";"Solar1Bat";"In Betrieb";"7/8/2015";"11/20/2020";"Speicher";"3,68";"1,5";"16341";"Panketal";"(natürliche Person)";"ABR906316156557";"5/3/2021"
"SEE983729557171";"Batteriespeicher";"In Betrieb";"7/17/2015";"2/27/2020";"Speicher";"2";"2";"16321";"Bernau";"(natürliche Person)";"ABR990568906626";"1/7/2021"
"SEE901849295148";"BHKW Eberswalde Nordend Bosch";"In Betrieb";"7/21/2015";"1/7/2021";"Erdgas";"50";"50";"16225";"Eberswalde";"EWE VERTRIEB GmbH";"ABR948415910210";"8/31/2021"
"SEE918751106981";"Hausspeicher";"In Betrieb";"7/22/2015";"8/13/2020";"Speicher";"2,4";"2,4";"16321";"Bernau";"(natürliche Person)";"ABR999357302175";"1/14/2021"
"SEE920053259197";"PV-Speicher";"In Betrieb";"7/23/2015";"9/1/2020";"Speicher";"4";"4";"16348";"Marienwerder";"(natürliche Person)";"ABR907291526779";"9/1/2020"
"SEE939497617494";"Hausdach Accu";"In Betrieb";"7/24/2015";"7/2/2020";"Speicher";"3";"3";"16356";"Ahrensfelde";"(natürliche Person)";"ABR988427671280";"5/3/2021"
"SEE923815062677";"BHKW 1 Kläranlage Eberswalde";"In Betrieb";"7/28/2015";"12/14/2020";"andere Gase";"150";"150";"16225";"Eberswalde";"ZWA Eberswalde";"ABR924524721404";"12/1/2021"
"SEE957174173996";"AKKU";"In Betrieb";"7/28/2015";"1/4/2021";"Speicher";"10";"10";"16348";"Wandlitz";"(natürliche Person)";"ABR980996398742";"5/3/2021"
"SEE954836086151";"Sonnenbatterie";"In Betrieb";"7/30/2015";"10/29/2021";"Speicher";"2,5";"2,5";"16341";"Panketal";"(natürliche Person)";"ABR911879784246";"10/29/2021"
"SEE945990248875";"Batteriespeicher";"In Betrieb";"8/7/2015";"7/9/2020";"Speicher";"6";"6";"16356";"Ahrensfelde";"(natürliche Person)";"ABR953173863845";"5/3/2021"
"SEE971844822472";"Batterie-Speicher Am Feldrain";"Endgültig stillgelegt";"8/19/2015";"11/2/2020";"Speicher";"2,7";"2,7";"16356";"Ahrensfelde";"(natürliche Person)";"";"6/4/2021"
"SEE957972244751";"Speicher";"In Betrieb";"8/19/2015";"9/17/2019";"Speicher";"10";"7";"16356";"Ahrensfelde";"(natürliche Person)";"ABR995165133048";"9/17/2019"
"SEE994384517417";"PV-Speicher";"In Betrieb";"8/20/2015";"1/11/2021";"Speicher";"5";"3,7";"16230";"Melchow";"(natürliche Person)";"ABR921421931400";"5/3/2021"
"SEE961051688435";"eVita 25s/28c";"In Betrieb";"8/26/2015";"9/8/2020";"Erdgas";"1";"1";"16356";"Werneuchen";"(natürliche Person)";"ABR999939606851";"9/14/2020"
"SEE901067580606";"Batterie";"In Betrieb";"9/2/2015";"2/24/2021";"Speicher";"2,3";"2,3";"16356";"Ahrensfelde";"(natürliche Person)";"ABR909432998834";"2/24/2021"
"SEE963844973469";"SpeicherTina";"In Betrieb";"9/25/2015";"1/4/2020";"Speicher";"2,5";"2,5";"16244";"Schorfheide";"(natürliche Person)";"ABR955924249854";"1/16/2020"
"SEE934349088750";"Mühlenberg";"In Betrieb";"9/30/2015";"5/16/2020";"Wind";"4,6";"4,6";"16248";"Parsteinsee";"(natürliche Person)";"ABR947061838138";"5/16/2020"
"SEE948077786611";"Hausdach Batterie";"In Betrieb";"10/16/2015";"2/3/2020";"Speicher";"2,4";"2,4";"16321";"Bernau";"(natürliche Person)";"ABR967264579850";"12/23/2020"
"SEE988634867766";"BHKW Eberswalde Schicklerstr.";"In Betrieb";"11/5/2015";"12/10/2020";"Erdgas";"15,2";"15,2";"16225";"Eberswalde";"e.distherm Wärmedienstleistungen GmbH";"ABR972036277445";"8/23/2021"
"SEE939523388879";"Biogasanlage Lanke";"In Betrieb";"11/7/2015";"2/5/2019";"Biomasse";"75";"75";"16348";"Wandlitz";"(natürliche Person)";"ABR914865730890";"5/28/2019"
"SEE938857424550";"Stromspeicher Schönow";"In Betrieb";"12/1/2015";"1/21/2020";"Speicher";"5";"5";"16321";"Bernau";"(natürliche Person)";"ABR913803696496";"12/11/2020"
"SEE914747834067";"Haus";"In Betrieb";"12/4/2015";"3/21/2021";"Speicher";"2,4";"2,4";"16321";"Bernau";"(natürliche Person)";"ABR972762897245";"8/19/2021"
"SEE934546379682";"LIN6";"In Betrieb";"12/15/2015";"12/10/2019";"Wind";"3170";"3170";"16356";"Ahrensfelde";"Phase 5 GmbH & Co. Lindenberg 6 KG";"ABR908698045757";"1/27/2021"
"SEE930694148149";"Batterie";"In Betrieb";"12/29/2015";"2/16/2020";"Speicher";"2";"2";"16321";"Bernau";"(natürliche Person)";"ABR925858376001";"1/5/2021"
"SEE981134453637";"Batterie LG";"In Betrieb";"1/26/2016";"3/10/2019";"Speicher";"5";"5";"16230";"Chorin";"(natürliche Person)";"ABR994599468689";"5/28/2019"
"SEE958093702076";"Hausdach-Batterie";"In Betrieb";"2/4/2016";"4/30/2019";"Speicher";"3,68";"3,68";"16341";"Panketal";"(natürliche Person)";"ABR975991300739";"5/28/2019"
"SEE965968446935";"Speicher";"In Betrieb";"2/8/2016";"7/19/2020";"Speicher";"2,5";"2,5";"16341";"Panketal";"(natürliche Person)";"ABR985654494583";"5/3/2021"
"SEE905791830754";"BHKW Eberswalde Nordend Caterpillar";"In Betrieb";"2/10/2016";"1/7/2021";"Erdgas";"1999";"1999";"16225";"Eberswalde";"EWE VERTRIEB GmbH";"ABR948415910210";"6/3/2021"
"SEE986482481257";"EQOO Hausspeicher";"In Betrieb";"3/2/2016";"10/19/2020";"Speicher";"3";"3";"16321";"Bernau";"(natürliche Person)";"ABR983872717538";"1/15/2021"
"SEE977363370722";"Batterie-Anlage Nr. 1";"In Betrieb";"4/5/2016";"11/24/2020";"Speicher";"3";"3";"16348";"Wandlitz";"(natürliche Person)";"ABR935939536040";"5/3/2021"
"SEE979907796883";"Tesla Powerwall";"In Betrieb";"4/8/2016";"7/13/2020";"Speicher";"3,3";"3,3";"16341";"Panketal";"(natürliche Person)";"ABR975459410253";"7/13/2020"
"SEE954880076603";"Keller";"In Betrieb";"4/13/2016";"4/11/2019";"Speicher";"2,5";"2,5";"16348";"Wandlitz";"(natürliche Person)";"ABR970494857018";"5/28/2019"
"SEE937620535806";"Remise-Batterie";"In Betrieb";"4/27/2016";"12/30/2020";"Speicher";"10";"10";"16348";"Wandlitz";"(natürliche Person)";"ABR930899497578";"5/3/2021"
"SEE989393116676";"Straomspeicher";"In Betrieb";"4/27/2016";"3/23/2021";"Speicher";"2,5";"2";"16321";"Bernau";"(natürliche Person)";"ABR957589659016";"3/30/2021"
"SEE925392091200";"Ecomulti";"In Betrieb";"5/9/2016";"1/20/2021";"Speicher";"3";"3";"16230";"Britz";"(natürliche Person)";"ABR943196835035";"1/20/2021"
"SEE939415839144";"ABR938351498866";"In Betrieb";"5/16/2016";"5/11/2021";"Speicher";"8";"8";"16230";"Chorin";"(natürliche Person)";"ABR938351498866";"5/11/2021"
"SEE990203695366";"Rostocker";"In Betrieb";"5/20/2016";"12/23/2019";"Speicher";"7,5";"7,5";"16341";"Panketal";"(natürliche Person)";"ABR928350124491";"12/23/2019"
"SEE974597102235";"Hausspeicher";"In Betrieb";"5/25/2016";"1/21/2020";"Speicher";"1,6";"1,6";"16321";"Bernau";"(natürliche Person)";"ABR915153511795";"5/8/2021"
"SEE992970026626";"Batterie E3DC";"In Betrieb";"6/1/2016";"1/9/2021";"Speicher";"5";"5";"16356";"Ahrensfelde";"(natürliche Person)";"ABR993216027520";"5/3/2021"
"SEE939680258749";"Speicheranlage";"In Betrieb";"6/27/2016";"2/17/2021";"Speicher";"2,5";"2,5";"16348";"Wandlitz";"(natürliche Person)";"ABR981407024489";"2/17/2021"
"SEE914968258642";"NEB Basdorf";"In Betrieb";"6/28/2016";"3/29/2019";"Erdgas";"33";"33";"16348";"Wandlitz";"Niederbarnimer Eisenbahn-Aktiengesellschaft";"ABR901709578756";"5/28/2019"
"SEE955167141793";"PVA-Batterie";"In Betrieb";"7/1/2016";"2/1/2020";"Speicher";"1,5";"1,5";"16321";"Bernau";"(natürliche Person)";"ABR936713187366";"4/20/2022"
"SEE982016579506";"Stromspeicher";"In Betrieb";"7/4/2016";"7/7/2020";"Speicher";"2,5";"2,5";"16341";"Panketal";"(natürliche Person)";"ABR958667922343";"5/3/2021"
"SEE942668976580";"Speicher";"In Betrieb";"7/13/2016";"3/23/2021";"Speicher";"2,5";"2,5";"16321";"Bernau";"Grundstücksgemeinschaft Diana und Oliver Kind";"ABR931983202108";"3/30/2021"
"SEE914994709590";"S10 mini E3/DC";"In Betrieb";"7/20/2016";"1/10/2021";"Speicher";"3";"1,5";"16356";"Ahrensfelde";"(natürliche Person)";"ABR903992571315";"5/3/2021"
"SEE932496250204";"BHKW2";"In Betrieb";"7/28/2016";"10/1/2019";"Erdgas";"5";"5";"16348";"Wandlitz";"Potschien Energie GbR";"ABR999978186307";"9/2/2021"
"SEE998575336405";"Remeha eVita 25s";"In Betrieb";"8/17/2016";"1/31/2021";"Erdgas";"1";"1";"16244";"Schorfheide";"(natürliche Person)";"ABR964749413357";"1/31/2021"
"SEE929058750401";"EWE Stromspeicher";"In Betrieb";"9/13/2016";"1/14/2021";"Speicher";"1,5";"1,5";"16341";"Panketal";"(natürliche Person)";"ABR912614453908";"1/14/2021"
"SEE990284014308";"Carport Speicher";"In Betrieb";"10/12/2016";"9/27/2021";"Speicher";"4,6";"4,6";"16321";"Bernau";"(natürliche Person)";"ABR917423359410";"10/11/2021"
"SEE910786423217";"Speicher";"In Betrieb";"10/28/2016";"12/14/2019";"Speicher";"6,9";"5,5";"16225";"Eberswalde";"(natürliche Person)";"ABR992186975510";"12/14/2019"
"SEE990971092060";"BHKW-Anlage";"In Betrieb";"11/15/2016";"10/19/2020";"Erdgas";"280";"280";"16321";"Bernau";"Krankenhaus Bernau GmbH";"ABR968428375868";"1/18/2021"
"SEE982753567842";"V213895";"In Betrieb";"12/9/2016";"2/14/2019";"Wind";"3450";"3450";"16321";"Rüdnitz";"Windpark Tempelfelde III GmbH & Co. KG";"ABR991069533168";"9/6/2019"
"SEE954566290842";"Batteriespeicher";"In Betrieb";"12/14/2016";"8/18/2020";"Speicher";"3";"3";"16348";"Marienwerder";"(natürliche Person)";"ABR937792389276";"8/18/2020"
"SEE945457766812";"BHKW Brandenburgalle";"In Betrieb";"12/15/2016";"1/29/2021";"Erdgas";"240";"240";"16321";"Bernau";"Brandenburgklinik Berlin-Brandenburg GmbH";"ABR919689822363";"2/5/2021"
"SEE994933106888";"Inselbatterie";"In Betrieb";"12/19/2016";"11/24/2020";"Speicher";"4";"4";"16341";"Panketal";"(natürliche Person)";"ABR906080954991";"11/24/2020"
"SEE957440081116";"NX 85138-01";"In Betrieb";"12/29/2016";"12/2/2019";"Wind";"2400";"2400";"16321";"Bernau";"Windenergie Management GmbH & Co. Ladeburg KG";"ABR993036829878";"1/19/2022"
"SEE935245761358";"SOLARWATT MyReserve 800";"In Betrieb";"1/3/2017";"7/13/2020";"Speicher";"1,5";"1,5";"16341";"Panketal";"(natürliche Person)";"ABR967818968062";"7/13/2020"
"SEE972684290681";"MR 800";"In Betrieb";"1/15/2017";"2/5/2019";"Speicher";"4,4";"3";"16356";"Ahrensfelde";"(natürliche Person)";"ABR918026598978";"5/28/2019"
"SEE921263481491";"PV-Speicher SENEC.Home 7.5Li";"In Betrieb";"1/19/2017";"2/2/2020";"Speicher";"2,5";"2,5";"16321";"Bernau";"(natürliche Person)";"ABR970428248011";"12/23/2020"
"SEE952204043454";"Gas-Mikro-KWK-Anlage";"In Betrieb";"1/26/2017";"10/15/2020";"Erdgas";"0,93";"0,93";"16356";"Werneuchen";"(natürliche Person)";"ABR998183244536";"10/10/2021"
"SEE900209816832";"SEE936735653504";"In Betrieb";"2/21/2017";"12/9/2019";"Speicher";"1,5";"1,5";"16341";"Panketal";"(natürliche Person)";"ABR998728114270";"12/9/2019"
"SEE908488141089";"BHKW AM Bernau";"In Betrieb";"2/23/2017";"2/15/2022";"Erdgas";"13,5";"6";"16321";"Bernau";"die Autobahn GmbH des Bundes";"ABR941162316298";"3/8/2022"
"SEE925316240813";"Batterie";"In Betrieb";"3/2/2017";"8/31/2020";"Speicher";"6";"6";"16341";"Panketal";"(natürliche Person)";"ABR952080134680";"8/31/2020"
"SEE911050211394";"Hausdach";"In Betrieb";"3/16/2017";"11/3/2020";"Speicher";"5,46";"5,46";"16359";"Biesenthal";"(natürliche Person)";"ABR998898499443";"11/3/2020"
"SEE905062268507";"KarlPaul_01";"In Betrieb";"3/20/2017";"7/1/2020";"Speicher";"3,3";"3,3";"16225";"Eberswalde";"(natürliche Person)";"ABR936264437088";"7/1/2020"
"SEE952756737924";"Speicher Freitag";"In Betrieb";"4/1/2017";"7/5/2020";"Speicher";"5";"4,4";"16356";"Ahrensfelde";"(natürliche Person)";"ABR957751309640";"7/5/2020"
"SEE933170033298";"SB27a";"In Betrieb";"4/3/2017";"3/6/2019";"Speicher";"8";"6";"16341";"Panketal";"(natürliche Person)";"ABR961192997144";"5/28/2019"
"SEE924640644274";"PV-Batt";"In Betrieb";"4/3/2017";"4/8/2021";"Speicher";"1,5";"1,5";"16348";"Wandlitz";"(natürliche Person)";"ABR971122646615";"4/8/2021"
"SEE949359268832";"Axel Mews Akku";"In Betrieb";"4/15/2017";"3/18/2019";"Speicher";"5";"5";"16356";"Werneuchen";"(natürliche Person)";"ABR997233570670";"5/28/2019"
"SEE955127861754";"BHKW";"In Betrieb";"4/26/2017";"2/5/2019";"Erdgas";"15";"15";"16248";"Oderberg";"Arbeiterwohlfahrt Bezirksverband Brandenburg Ost e. V.";"ABR973780707271";"8/30/2021"
"SEE958429155255";"Sonnenbatterie 1";"In Betrieb";"5/13/2017";"11/24/2020";"Speicher";"3";"3";"16341";"Panketal";"(natürliche Person)";"ABR921725827089";"11/24/2020"
"SEE995850208501";"219027";"In Betrieb";"5/31/2017";"12/13/2019";"Wind";"3450";"3450";"16356";"Werneuchen";"Windpark Willmersdorf GmbH & Co. KG";"ABR952550906113";"11/12/2020"
"SEE985838706464";"219028";"In Betrieb";"5/31/2017";"12/13/2019";"Wind";"3450";"3450";"16356";"Werneuchen";"Windpark Willmersdorf GmbH & Co. KG";"ABR952550906113";"12/13/2019"
"SEE946103558621";"EEG963099351807";"In Betrieb";"5/31/2017";"11/23/2020";"Speicher";"7,2";"6,9";"16247";"Joachimsthal";"(natürliche Person)";"ABR971378175068";"11/23/2020"
"SEE942119154765";"MB Energiespeicher Home 5.0";"In Betrieb";"6/2/2017";"8/18/2020";"Speicher";"2,5";"2,3";"16248";"Lunow-Stolzenhagen";"(natürliche Person)";"ABR980944468831";"5/3/2021"
"SEE947823872707";"Solar Batterie Zepernick";"In Betrieb";"6/2/2017";"12/15/2020";"Speicher";"6,9";"6,9";"16341";"Panketal";"(natürliche Person)";"ABR988879569746";"12/15/2020"
"SEE913232801713";"Batterie";"In Betrieb";"6/9/2017";"11/8/2020";"Speicher";"9";"9";"16348";"Wandlitz";"(natürliche Person)";"ABR943909072542";"5/3/2021"
"SEE915009138169";"DOCO";"In Betrieb";"6/27/2017";"12/23/2019";"Speicher";"7,5";"7,5";"16341";"Panketal";"(natürliche Person)";"ABR928350124491";"12/23/2019"
"SEE914481404762";"Ostdach";"In Betrieb";"6/30/2017";"8/21/2019";"Speicher";"10";"4,2";"16247";"Joachimsthal";"(natürliche Person)";"ABR919381978498";"8/21/2019"
"SEE947861644113";"Heidestr.";"In Betrieb";"6/30/2017";"5/13/2020";"Speicher";"2,5";"2,5";"16321";"Bernau";"(natürliche Person)";"ABR990530003667";"8/19/2021"
"SEE935861007441";"Dachanlage Rüdnitz";"In Betrieb";"7/10/2017";"7/15/2019";"Speicher";"2,5";"2,5";"16321";"Rüdnitz";"(natürliche Person)";"ABR936304066902";"7/15/2019"
"SEE954178902638";"Stromspeicher";"In Betrieb";"7/11/2017";"5/15/2019";"Speicher";"3";"3";"16321";"Bernau";"(natürliche Person)";"ABR989820825782";"11/30/2020"
"SEE902259318953";"KWK-Anlage-Wandlitz";"In Betrieb";"7/19/2017";"4/1/2019";"Erdgas";"1";"1";"16348";"Wandlitz";"Gemeinde Wandlitz";"ABR950116937526";"5/18/2021"
"SEE943639820031";"stromerzeuger";"In Betrieb";"7/27/2017";"9/15/2021";"Speicher";"3,3";"3,3";"16341";"Panketal";"(natürliche Person)";"ABR976198581082";"10/16/2021"
"SEE942499986956";"Batterie";"In Betrieb";"7/28/2017";"11/29/2020";"Speicher";"3,48";"3,48";"16341";"Panketal";"(natürliche Person)";"ABR925972556310";"11/29/2020"
"SEE938481848661";"SPVA";"In Betrieb";"8/15/2017";"1/30/2021";"Speicher";"2,5";"2,5";"16244";"Schorfheide";"(natürliche Person)";"ABR953814451493";"2/16/2021"
"SEE908812854029";"Hauskraftwerk";"In Betrieb";"8/17/2017";"4/1/2019";"Speicher";"11,5";"11,5";"16356";"Ahrensfelde";"Kalks & Baumann GbR";"ABR934869501593";"5/28/2019"
"SEE972565914897";"Solarspeicher";"In Betrieb";"8/17/2017";"7/5/2020";"Speicher";"10";"2,3";"16341";"Panketal";"(natürliche Person)";"ABR956661432998";"7/5/2020"
"SEE945335007150";"Brennstoffzelle";"In Betrieb";"8/23/2017";"12/16/2020";"Erdgas";"1,5";"1,5";"16348";"Wandlitz";"(natürliche Person)";"ABR947959137008";"8/17/2021"
"SEE918122674316";"Stromspeicher";"In Betrieb";"8/30/2017";"2/1/2021";"Speicher";"7,5";"7,5";"16248";"Hohenfinow";"(natürliche Person)";"ABR936715941515";"2/1/2021"
"SEE923160287404";"PICO-KUBOTA 1200";"In Betrieb";"8/30/2017";"4/16/2021";"Speicher";"4,4";"4,4";"16248";"Liepe";"(natürliche Person)";"ABR981126548105";"4/16/2021"
"SEE981136445548";"Keller";"In Betrieb";"9/6/2017";"7/18/2020";"Speicher";"5";"5";"16248";"Oderberg";"(natürliche Person)";"ABR950589530866";"7/18/2020"
"SEE992581454405";"Speicher";"In Betrieb";"9/7/2017";"7/15/2020";"Speicher";"4,6";"4,6";"16348";"Wandlitz";"(natürliche Person)";"ABR995954046962";"7/15/2020"
"SEE968716956878";"Keller";"In Betrieb";"9/8/2017";"12/8/2019";"Speicher";"1,5";"1,5";"16348";"Wandlitz";"(natürliche Person)";"ABR955480306428";"12/8/2019"
"SEE994109358660";"Brennstoffzellenheizung";"In Betrieb";"9/8/2017";"9/1/2020";"Erdgas";"0,75";"0,75";"16348";"Wandlitz";"(natürliche Person)";"ABR934278733257";"11/5/2020"
"SEE924677592449";"70001303.01";"In Betrieb";"9/12/2017";"2/19/2019";"Erdgas";"25,64";"20";"16225";"Eberswalde";"ENGIE Deutschland GmbH";"ABR942217905054";"1/29/2020"
"SEE971158129014";"Batteriespeicher";"In Betrieb";"9/21/2017";"12/8/2019";"Speicher";"2,3";"2,3";"16341";"Panketal";"(natürliche Person)";"ABR936621116502";"12/8/2019"
"SEE953096633808";"Elcore 2400";"In Betrieb";"9/25/2017";"4/15/2019";"Erdgas";"0,75";"0,75";"16321";"Bernau";"(natürliche Person)";"ABR993124657611";"5/28/2019"
"SEE954240670243";"S10mini";"In Betrieb";"9/25/2017";"12/9/2019";"Speicher";"1,5";"1,5";"16244";"Schorfheide";"(natürliche Person)";"ABR950139687859";"12/9/2019"
"SEE928953143264";"Hausdachspeicher";"In Betrieb";"9/25/2017";"5/16/2020";"Speicher";"1,5";"1,5";"16356";"Ahrensfelde";"(natürliche Person)";"ABR970187567651";"5/16/2020"
"SEE929544290251";"WEA Börnicke";"In Betrieb";"9/28/2017";"2/24/2020";"Wind";"3000";"3000";"16321";"Bernau";"Windenergie Börnicke GmbH & Co.KG";"ABR931902166801";"9/10/2021"
"SEE913885621102";"Batterie g";"In Betrieb";"9/29/2017";"8/6/2020";"Speicher";"2,5";"2,5";"16348";"Wandlitz";"LUKAS Massivhaus GbR";"ABR963685792977";"8/6/2020"
"SEE939153360092";"Batterie f";"In Betrieb";"9/29/2017";"8/6/2020";"Speicher";"2,5";"2,5";"16348";"Wandlitz";"LUKAS Massivhaus GbR";"ABR963685792977";"8/6/2020"
"SEE963945039170";"Batteriespeicher";"In Betrieb";"10/6/2017";"12/29/2020";"Speicher";"5";"5";"16244";"Schorfheide";"(natürliche Person)";"ABR943564865367";"5/3/2021"
"SEE999426211599";"Speicher";"In Betrieb";"10/16/2017";"12/17/2019";"Speicher";"3";"3";"16356";"Ahrensfelde";"(natürliche Person)";"ABR955148887962";"12/17/2019"
"SEE952218639827";"Hochstr.";"In Betrieb";"10/17/2017";"5/8/2020";"Speicher";"2,5";"2,5";"16341";"Panketal";"(natürliche Person)";"ABR901894927308";"5/14/2020"
"SEE953049109398";"Bonhoefferhaus";"In Betrieb";"10/26/2017";"3/1/2019";"Erdgas";"49,5";"49,5";"16321";"Bernau";"Hoffnungstaler Stiftung Lobetal";"ABR988122689153";"11/26/2020"
"SEE929546949799";"Hausdach";"In Betrieb";"11/2/2017";"12/8/2019";"Speicher";"3";"3";"16341";"Panketal";"(natürliche Person)";"ABR916517660272";"12/8/2019"
"SEE945061533442";"Hausspeicher2017";"In Betrieb";"11/9/2017";"7/15/2020";"Speicher";"3,3";"3,3";"16247";"Joachimsthal";"(natürliche Person)";"ABR903654144727";"7/15/2020"
"SEE961310903279";"Sunshine Electric Tesla Batterie";"In Betrieb";"11/13/2017";"12/10/2020";"Speicher";"5,25";"5,25";"16341";"Panketal";"(natürliche Person)";"ABR948883491747";"12/10/2020"
"SEE965540759651";"IV-00073-A-17_BAT";"In Betrieb";"11/15/2017";"9/12/2019";"Speicher";"5";"5";"16356";"Ahrensfelde";"(natürliche Person)";"ABR917104588634";"9/12/2019"
"SEE901291274074";"Richi-Lindenberg-Speicher";"In Betrieb";"11/20/2017";"3/21/2020";"Speicher";"3,5";"3,5";"16356";"Ahrensfelde";"(natürliche Person)";"ABR992668884965";"3/21/2020"
"SEE902290802022";"Speicher HWR";"In Betrieb";"11/28/2017";"7/13/2020";"Speicher";"3";"3";"16247";"Friedrichswalde";"(natürliche Person)";"ABR981962908842";"7/13/2020"
"SEE943200346595";"Senec Speicher 1";"In Betrieb";"12/1/2017";"4/30/2019";"Speicher";"2,5";"2,5";"16348";"Wandlitz";"(natürliche Person)";"ABR906708198790";"5/28/2019"
