"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Postleitzahl";"Ort";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Letzte Aktualisierung"
"SEE914135272884";"Stromspeicher";"In Betrieb";"1/17/2022";"1/31/2022";"Speicher";"3,75";"3,75";"16356";"Ahrensfelde";"(natürliche Person)";"ABR969275119452";"1/31/2022"
"SEE905999497667";"Solar-Speicher";"In Betrieb";"1/17/2022";"2/23/2022";"Speicher";"5";"5";"16341";"Panketal";"(natürliche Person)";"ABR980756929605";"3/11/2022"
"SEE936641582967";"Hausspeicher";"In Betrieb";"1/18/2022";"2/9/2022";"Speicher";"2,7";"2,7";"16341";"Panketal";"(natürliche Person)";"ABR917749200823";"2/9/2022"
"SEE939703801792";"Batterie";"In Betrieb";"1/19/2022";"2/1/2022";"Speicher";"2,25";"2,25";"16230";"Britz";"(natürliche Person)";"ABR992878952140";"4/8/2022"
"SEE968721540871";"Eigensonne S A 2094";"In Betrieb";"1/20/2022";"1/21/2022";"Speicher";"5";"5";"16321";"Bernau";"(natürliche Person)";"ABR926906952376";"2/22/2022"
"SEE996940839209";"Speicher";"In Betrieb";"1/20/2022";"3/24/2022";"Speicher";"6";"6";"16356";"Werneuchen";"(natürliche Person)";"ABR979458130952";"3/24/2022"
"SEE997784755540";"16356_Akku";"In Betrieb";"1/24/2022";"1/25/2022";"Speicher";"7,7";"7,7";"16356";"Ahrensfelde";"(natürliche Person)";"ABR955872679055";"2/8/2022"
"SEE954292354382";"PVA DT 02";"In Betrieb";"1/24/2022";"3/2/2022";"Speicher";"7,7";"5,5";"16244";"Schorfheide";"(natürliche Person)";"ABR999787867374";"3/2/2022"
"SEE994928587890";"Speicher";"In Betrieb";"1/26/2022";"1/26/2022";"Speicher";"2,5";"2,5";"16356";"Ahrensfelde";"(natürliche Person)";"ABR901005484249";"1/26/2022"
"SEE960729326716";"EIGENSONNE S A 2158";"In Betrieb";"1/26/2022";"1/28/2022";"Speicher";"2,65";"2,65";"16247";"Ziethen";"(natürliche Person)";"ABR976388209949";"5/5/2022"
"SEE906106955476";"Speicher";"In Betrieb";"1/26/2022";"2/2/2022";"Speicher";"4,66";"4,66";"16348";"Wandlitz";"(natürliche Person)";"ABR976280569424";"2/2/2022"
"SEE934527689885";"KA20211115-78028-Speicher";"In Betrieb";"1/26/2022";"2/22/2022";"Speicher";"9,01";"9,01";"16227";"Eberswalde";"(natürliche Person)";"ABR997360879431";"2/22/2022"
"SEE906903386985";"C000037782_KD_Speicher";"In Betrieb";"1/27/2022";"2/1/2022";"Speicher";"5";"5";"16348";"Wandlitz";"(natürliche Person)";"ABR972297438159";"2/1/2022"
"SEE908051087004";"Speicher";"In Betrieb";"1/27/2022";"4/21/2022";"Speicher";"9";"9";"16247";"Friedrichswalde";"(natürliche Person)";"ABR903506533372";"4/21/2022"
"SEE949741878373";"PVA MF 02";"In Betrieb";"1/28/2022";"2/9/2022";"Speicher";"10";"10";"16225";"Eberswalde";"(natürliche Person)";"ABR988388126430";"5/5/2022"
"SEE953289048372";"Speicher Aulmann";"In Betrieb";"1/28/2022";"2/17/2022";"Speicher";"2,5";"2,5";"16341";"Panketal";"(natürliche Person)";"ABR906918739158";"5/7/2022"
"SEE962582743884";"PVA JL 02";"In Betrieb";"1/28/2022";"2/21/2022";"Speicher";"5,1";"5,1";"16230";"Chorin";"(natürliche Person)";"ABR969352450263";"2/21/2022"
"SEE937179093772";"BYD Stromspeicher";"In Betrieb";"1/31/2022";"1/31/2022";"Speicher";"10,24";"10,24";"16348";"Wandlitz";"(natürliche Person)";"ABR933298209469";"1/31/2022"
"SEE939883176673";"C000002360_SW_Speicher";"In Betrieb";"1/31/2022";"2/1/2022";"Speicher";"5";"5";"16321";"Bernau";"(natürliche Person)";"ABR990823720066";"2/9/2022"
"SEE957832426099";"Speicher";"In Betrieb";"2/1/2022";"2/2/2022";"Speicher";"3,99";"3,99";"16321";"Bernau";"(natürliche Person)";"ABR992911463541";"2/2/2022"
"SEE920869465164";"Stromspeicher";"In Betrieb";"2/1/2022";"2/10/2022";"Speicher";"3,75";"3,75";"16348";"Wandlitz";"(natürliche Person)";"ABR952561940700";"5/5/2022"
"SEE983386816307";"Speicher";"In Betrieb";"2/1/2022";"2/18/2022";"Speicher";"4,5";"4,5";"16247";"Joachimsthal";"(natürliche Person)";"ABR955863244552";"3/14/2022"
"SEE953556953316";"Speicher AW";"In Betrieb";"2/2/2022";"2/16/2022";"Speicher";"3,75";"3,75";"16348";"Wandlitz";"(natürliche Person)";"ABR987901811365";"5/17/2022"
"SEE950246726366";"C000044371_PR_Speicher";"In Betrieb";"2/3/2022";"2/8/2022";"Speicher";"5";"5";"16230";"Britz";"(natürliche Person)";"ABR939066251746";"2/8/2022"
"SEE967692571464";"Sun2000";"In Betrieb";"2/3/2022";"2/16/2022";"Speicher";"5";"5";"16348";"Wandlitz";"(natürliche Person)";"ABR910681155893";"2/16/2022"
"SEE934954730891";"Stromspeicher";"In Betrieb";"2/3/2022";"4/1/2022";"Speicher";"2,5";"2,5";"16230";"Chorin";"(natürliche Person)";"ABR956258198696";"4/1/2022"
"SEE960931410647";"C000037138_JH_Speicher";"In Betrieb";"2/4/2022";"2/15/2022";"Speicher";"5";"5";"16359";"Biesenthal";"(natürliche Person)";"ABR967859190620";"2/15/2022"
"SEE931471051355";"EIGENSONNE S A 2231";"In Betrieb";"2/7/2022";"2/11/2022";"Speicher";"5";"5";"16359";"Biesenthal";"(natürliche Person)";"ABR913515661591";"3/29/2022"
"SEE928217291755";"DE-V3-HD-03LI10-059694 2021";"In Betrieb";"2/7/2022";"3/23/2022";"Speicher";"3,75";"3,75";"16341";"Panketal";"(natürliche Person)";"ABR925565971896";"5/5/2022"
"SEE974749523079";"Stromspeicher";"In Betrieb";"2/7/2022";"4/6/2022";"Speicher";"4,6";"4,6";"16341";"Panketal";"(natürliche Person)";"ABR945014016503";"4/6/2022"
"SEE973879878042";"Speicher";"In Betrieb";"2/8/2022";"2/9/2022";"Speicher";"4,66";"4,66";"16359";"Biesenthal";"(natürliche Person)";"ABR923777591666";"5/5/2022"
"SEE946909386664";"PV-Anlage Speicher";"In Betrieb";"2/9/2022";"2/9/2022";"Speicher";"3,4";"3,4";"16247";"Friedrichswalde";"(natürliche Person)";"ABR999152653212";"2/9/2022"
"SEE916392010469";"C000039090_MB_Speicher";"In Betrieb";"2/10/2022";"2/18/2022";"Speicher";"2,5";"2,5";"16341";"Panketal";"(natürliche Person)";"ABR948984469409";"5/5/2022"
"SEE950893725118";"Speicher";"In Betrieb";"2/11/2022";"2/11/2022";"Speicher";"5";"2,25";"16356";"Ahrensfelde";"(natürliche Person)";"ABR928415713721";"2/11/2022"
"SEE950805622580";"Stromspeicher Q-CELLS Panketal";"In Betrieb";"2/11/2022";"2/16/2022";"Speicher";"7,65";"7,65";"16341";"Panketal";"(natürliche Person)";"ABR917946350482";"2/16/2022"
"SEE942498912666";"C000041220_SS_Speicher";"In Betrieb";"2/11/2022";"2/24/2022";"Speicher";"2,5";"2,5";"16341";"Panketal";"(natürliche Person)";"ABR997762267706";"5/5/2022"
"SEE925569859510";"Stromspeicher";"In Betrieb";"2/13/2022";"3/9/2022";"Speicher";"3,75";"3,75";"16356";"Ahrensfelde";"(natürliche Person)";"ABR912107409238";"3/9/2022"
"SEE926882653953";"PV-Speicher";"In Betrieb";"2/13/2022";"5/11/2022";"Speicher";"5";"5";"16341";"Panketal";"(natürliche Person)";"ABR925632400458";"5/11/2022"
"SEE988693807673";"Speicher 14.02.22, 5,0 kWh";"In Betrieb";"2/14/2022";"2/14/2022";"Speicher";"2,5";"2,5";"16230";"Chorin";"(natürliche Person)";"ABR935755256597";"2/14/2022"
