AGS,Name,newbuilding_renewables_2016,newbuilding_renewables_2017,newbuilding_renewables_2018,newbuilding_renewables_2019
9272,Freyung-Grafenau,59.26,56.44,53.16,56.15
9273,Kelheim,36.33,46.68,56.45,60.0
9274,Landshut,44.61,48.06,51.8,58.94
9275,Passau,41.12,44.88,44.63,52.31
9276,Regen,70.25,62.5,75.37,77.14
9277,Rottal-Inn,40.28,50.0,53.53,52.4
9278,Straubing-Bogen,55.53,62.67,63.84,62.24
9279,Dingolfing-Landau,51.8,51.5,54.01,57.11
9361,"Amberg, Stadt",36.36,52.78,22.73,37.04
9362,"Regensburg, Stadt",33.06,65.55,33.73,35.32
9363,"Weiden i.d.OPf., Stadt",51.61,43.48,32.43,46.67
9371,Amberg-Sulzbach,83.33,76.07,82.44,82.09
9372,Cham,58.31,59.38,59.65,55.66
9373,Neumarkt i.d.OPf.,53.38,56.99,68.46,62.5
9374,Neustadt a.d.Waldnaab,69.44,67.05,72.4,70.56
9375,Regensburg,61.27,63.23,65.51,70.08
9376,Schwandorf,57.65,59.46,58.53,48.15
9377,Tirschenreuth,57.47,69.51,66.2,58.02
9461,"Bamberg, Stadt",16.28,25.3,7.14,23.81
9462,"Bayreuth, Stadt",71.79,79.07,67.19,75.68
9463,"Coburg, Stadt",30.0,42.86,44.44,35.29
9464,"Hof, Stadt",37.5,52.94,62.5,83.33
9471,Bamberg,57.04,69.78,71.98,65.92
9472,Bayreuth,87.5,81.77,80.31,82.2
9473,Coburg,39.13,62.94,69.77,60.48
9474,Forchheim,76.02,63.45,70.05,72.92
9475,Hof,72.73,61.43,65.08,68.75
9476,Kronach,60.0,61.76,64.29,59.32
9477,Kulmbach,71.83,75.31,68.57,66.67
9478,Lichtenfels,58.23,57.45,60.76,59.41
9479,Wunsiedel i.Fichtelgebirge,54.76,48.28,54.55,51.61
9561,"Ansbach, Stadt",33.33,34.88,36.11,45.45
9562,"Erlangen, Stadt",30.52,45.86,58.59,45.45
9563,"Fürth, Stadt",36.67,36.07,34.69,27.27
9564,"Nürnberg, Stadt",33.44,29.45,24.42,28.47
9565,"Schwabach, Stadt",32.61,47.17,53.85,39.62
9571,Ansbach,52.06,52.05,53.42,53.58
9572,Erlangen-Höchstadt,59.35,45.0,51.25,49.49
9573,Fürth,55.31,62.91,62.61,71.26
9574,Nürnberger Land,46.22,63.98,64.12,67.84
9575,Neustadt a.d.Aisch-Bad Windsheim,68.92,75.93,76.0,68.31
9576,Roth,56.8,63.12,63.76,57.25
9577,Weißenburg-Gunzenhausen,59.49,58.33,71.11,61.97
9661,"Aschaffenburg, Stadt",34.09,48.1,52.46,59.18
9662,"Schweinfurt, Stadt",30.61,26.19,52.17,58.62
9663,"Würzburg, Stadt",25.68,32.5,26.03,21.82
9671,Aschaffenburg,49.08,54.91,59.11,60.08
9672,Bad Kissingen,40.0,48.74,53.97,49.56
9673,Rhön-Grabfeld,44.34,47.42,46.62,48.1
9674,Haßberge,54.55,56.83,61.98,61.39
9675,Kitzingen,49.25,60.65,70.39,64.42
9676,Miltenberg,57.86,61.21,70.07,65.99
9677,Main-Spessart,69.5,71.79,75.86,71.35
9678,Schweinfurt,67.32,69.05,73.98,72.27
9679,Würzburg,54.37,53.03,63.32,66.2
9761,"Augsburg, Stadt",22.22,17.11,27.39,32.23
9762,"Kaufbeuren, Stadt",23.33,20.0,59.38,23.19
9763,"Kempten (Allgäu), Stadt",21.67,16.67,53.33,55.26
9764,"Memmingen, Stadt",29.87,55.88,36.99,51.95
9771,Aichach-Friedberg,57.99,66.58,60.66,59.64
9772,Augsburg,45.6,45.27,44.33,50.0
9773,Dillingen a.d.Donau,56.28,54.19,52.82,55.93
9774,Günzburg,57.3,55.88,57.18,55.43
9775,Neu-Ulm,51.05,55.45,64.5,65.7
9776,Lindau (Bodensee),59.06,60.58,73.15,63.31
9777,Ostallgäu,55.2,61.29,64.24,59.18
9778,Unterallgäu,57.48,61.64,59.23,55.2
9779,Donau-Ries,50.18,45.08,46.89,43.64
9780,Oberallgäu,63.03,62.18,60.4,61.49
10041,Regionalverband Saarbrücken,37.24,54.78,40.74,53.98
10042,Merzig-Wadern,67.55,66.05,73.55,77.91
10043,Neunkirchen,45.63,45.98,60.22,61.86
10044,Saarlouis,48.05,55.29,58.97,64.15
10045,Saarpfalz-Kreis,37.69,38.1,55.73,57.93
10046,St. Wendel,55.7,61.54,73.33,69.92
11000,"Berlin, Stadt",18.4,21.77,23.47,21.27
12051,"Brandenburg an der Havel, Stadt",30.38,44.44,39.04,36.67
12052,"Cottbus, Stadt",44.23,45.56,55.97,38.18
12053,"Frankfurt (Oder), Stadt",26.83,21.28,26.67,15.38
12054,"Potsdam, Stadt",14.82,21.22,29.41,35.59
12060,Barnim,25.42,28.75,35.7,32.56
