,Jahr,Insgesamt,Steinkohle,Braunkohle,Mineralöle und Mineralöl produkte,Gase,Gesamt Erneuerbare Energieträger,Stromaustauschsaldo,Kernenergie,Andere Energieträger,"Klärgas, Deponiegas",Wasserkraft,Windkraft,Solarenergie,Biomasse 1),Sonstige erneuerbare Energien 2),Gesamt Nichterneuerbar,Anteil Erneuerbar
76,2004,306615.369720446,43825.071276,13827.185762,118023.492115897,106879.895902549,3211.3866,19577.739564,0.0,1270.5985,0.0,0.0,0.0,44.1936,3104.0418,63.1512,303403.983120446,1.0473664783758083
77,2005,299067.624091124,47843.87083,13240.381526,114814.72333999,103018.599143134,3713.416052,15544.962,0.0,891.6712,0.0,0.0,0.0,65.6064,3419.985128,227.824524,295354.208039124,1.2416643437367016
78,2006,304874.916226977,45233.453566,12056.174191,120295.5882005831,101504.650469394,5406.7002,19294.038,0.0,1084.3116,0.0,0.0,0.0,69.0192,5267.881,69.8,299468.216026977,1.7734158870501349
79,2007,271331.901339704,43902.137861,12545.800027,95197.20992859417,92485.5937881096,6247.365735,19913.8356,0.0,1039.9584,144.308,0.0,0.0,73.3752,5927.082535,102.6,265084.535604704,2.302481095718406
80,2008,287334.524482265,42900.50464,12956.410488,107926.06043454798,94798.0118,6398.7361123,19615.5828,0.0,2738.971,146.548,0.0,8.2188,85.752,5914.6173123,243.6,280935.788369965,2.2269290903449876
81,2009,283301.553979452,38054.237349,13116.049422,99170.9728001378,103253.764821264,8301.72238830359,18289.451844,0.0,3115.02,136.172,0.0,18.8352,111.276,7784.83918830359,250.6,274999.8315911484,2.930348341437519
82,2010,309269.75695687,45085.297808,14363.962242,101631.7936136644,113941.701588197,9676.81500800807,22481.034772,0.0,2089.151925,26.065,0.0,17.2279942868802,159.177492,7093.79259672119,2380.551925,299592.94194886193,3.1289237923634334
83,2011,276789.477959495,38499.004138,12473.208336,92296.22422044098,98430.9354029662,9437.112724087858,23418.651588,0.0,2234.34155,27.327,0.0,20.972497468098,240.393528,6592.08014861976,2556.33955,267352.36523540714,3.4094911387740225
84,2012,280369.843057519,36266.968188,13085.293506999998,98112.7713523813,96274.1780821307,10560.688892006809,24027.490336,0.0,2042.4527,26.101,0.0,19.2527853881279,280.302696,7789.47971061868,2445.5527,269809.1541655122,3.7666992914927167
85,2013,288998.868877938,40535.29703,12018.319201,101017.5254004575,98889.518482951,11330.955001529124,22922.005332,0.0,2285.24843,22.735,0.0,17.9688197621226,279.351216,8287.112545767,2723.78742,277667.9138764089,3.9207610208034698
86,2014,271832.412281332,43245.313974,12274.44067,98976.18719709932,80313.0948547368,11237.840525495869,23461.84564,0.0,2323.68942,18.31,0.0,21.4707430309174,315.934992,8081.33537046495,2800.78942,260594.57175583614,4.134106169011702
87,2015,264997.795676438,39810.263,12172.618549,96020.76701156028,79417.7204728783,11200.314084999787,24300.198908,0.0,2075.91365,24.298,0.0,43.8103919781222,329.9112,10278.8651223611,523.429370660568,253797.48159143823,4.226568774434394
88,2016,272122.960777807,36894.364,12411.651958000002,97315.1478746905,88557.4769111738,11221.474028942535,23385.53928,0.0,2337.306725,18.669,0.0,69.8374298827129,328.734,10263.448334528995,540.785264530825,260901.48674886447,4.123677765693965
89,2017,270556.724739727,37166.84717,6046.699191780001,96234.47056484807,94794.0131218502,11569.63793924856,22297.601252,0.0,2447.4555,16.516,0.0,100.3464,328.1976,10522.153944259284,602.423994989276,258987.08680047843,4.2762337363369705
90,2018,266504.013745793,30493.983,553.217558615,93864.77500681917,100536.003418255,13928.487093703756,24566.8716684,0.0,2560.676,13.437,0.0,102.286754191693,423.345,12744.499457679458,644.918881832606,252575.52665208926,5.226370476727436
91,2019,264306.664701133,20744.094,445.35781876,94044.28813547868,104747.783450527,14795.581513567968,26389.4152828,0.0,3140.1445,271.253150684931,0.0,106.822549517522,389.9114,13346.1705876232,681.423825742315,249511.083187565,5.5978843856617075
92,2020,237633.483830352,22229.209,551.107648,72461.84568930061,104811.555017771,14517.497827680469,20580.5116476,0.0,2481.757,13.4,0.0,100.642762823768,465.9624,13207.892664856696,729.6,223115.98600267153,6.109197068391507
