,AGS,Name,Bundesland,mobility_car_density,mobility_ev_hybrid,mobility_rank,mobility_third,mobility_pc_km_umweltfreundlich_2002,mobility_pc_km_umweltfreundlich_2017
83,5116,Mönchengladbach,Nordrhein-Westfalen,54.38331653901709,1.6157026218290351,68,besten Drittel,16.5324459466038,21.401120709362583
84,5117,Mülheim an der Ruhr,Nordrhein-Westfalen,56.215627361059866,1.9661588740709504,82,besten Drittel,16.5324459466038,21.401120709362583
85,5119,Oberhausen,Nordrhein-Westfalen,54.36403004522113,1.3513642983061238,67,besten Drittel,16.5324459466038,21.401120709362583
86,5120,Remscheid,Nordrhein-Westfalen,57.03319316453432,1.882437147714056,92,besten Drittel,16.5324459466038,21.401120709362583
87,5122,Solingen,Nordrhein-Westfalen,61.21592631969652,3.100838591568789,164,mittleren Drittel,16.5324459466038,21.401120709362583
88,5124,Wuppertal,Nordrhein-Westfalen,50.18529381902689,1.7818665884503004,39,besten Drittel,16.5324459466038,21.401120709362583
89,5154,Kleve,Nordrhein-Westfalen,63.03181685288996,1.5024978072684285,210,mittleren Drittel,16.5324459466038,21.401120709362583
90,5158,Mettmann,Nordrhein-Westfalen,62.26530776551316,2.4369801676675387,192,mittleren Drittel,16.5324459466038,21.401120709362583
91,5162,Rhein-Kreis Neuss,Nordrhein-Westfalen,61.55988119231993,2.0800183869028674,170,mittleren Drittel,16.5324459466038,21.401120709362583
92,5166,Viersen,Nordrhein-Westfalen,64.38089308845532,1.572829117588976,249,mittleren Drittel,16.5324459466038,21.401120709362583
93,5170,Wesel,Nordrhein-Westfalen,63.53562841933571,1.7283730749099218,226,mittleren Drittel,16.5324459466038,21.401120709362583
94,5314,Bonn,Nordrhein-Westfalen,53.468219413351015,2.7352848125103573,61,besten Drittel,16.5324459466038,21.401120709362583
95,5315,Köln,Nordrhein-Westfalen,46.392214676040176,2.6525119840163414,16,besten Drittel,16.5324459466038,21.401120709362583
