,AGS,Name,Bundesland,buildings_anteil_erneuerbare_2016,buildings_anteil_erneuerbare_2020,buildings_rank,buildings_third,buildings_heating_2002,buildings_heating_2020
106,5513,Gelsenkirchen,Nordrhein-Westfalen,29.285714285714285,44.97607655502392,207,mittleren Drittel,154.65,130.29
107,5515,Münster,Nordrhein-Westfalen,14.523974982626822,19.335142469470828,346,schlechtesten Drittel,154.65,130.29
108,5554,Borken,Nordrhein-Westfalen,19.710544452102,37.281292059219375,256,mittleren Drittel,154.65,130.29
109,5558,Coesfeld,Nordrhein-Westfalen,29.477611940298505,42.18942189421895,223,mittleren Drittel,154.65,130.29
110,5562,Recklinghausen,Nordrhein-Westfalen,17.152858809801636,37.14839961202716,259,mittleren Drittel,154.65,130.29
111,5566,Steinfurt,Nordrhein-Westfalen,15.233415233415236,27.872860635696824,311,schlechtesten Drittel,154.65,130.29
112,5570,Warendorf,Nordrhein-Westfalen,18.317503392130256,42.71412680756395,219,mittleren Drittel,154.65,130.29
113,5711,Bielefeld,Nordrhein-Westfalen,21.236559139784944,42.42424242424242,222,mittleren Drittel,154.65,130.29
114,5754,Gütersloh,Nordrhein-Westfalen,33.954933954933956,38.06254767353165,250,mittleren Drittel,154.65,130.29
115,5758,Herford,Nordrhein-Westfalen,30.674846625766875,48.12286689419796,183,mittleren Drittel,154.65,130.29
116,5762,Höxter,Nordrhein-Westfalen,37.19806763285025,58.095238095238095,110,besten Drittel,154.65,130.29
117,5766,Lippe,Nordrhein-Westfalen,27.032136105860115,34.18803418803419,278,schlechtesten Drittel,154.65,130.29
118,5770,Minden-Lübbecke,Nordrhein-Westfalen,35.06289308176101,42.71961492178099,218,mittleren Drittel,154.65,130.29
119,5774,Paderborn,Nordrhein-Westfalen,29.941126997476875,64.01709401709402,67,besten Drittel,154.65,130.29
120,5911,Bochum,Nordrhein-Westfalen,31.889763779527563,25.2054794520548,323,schlechtesten Drittel,154.65,130.29
121,5913,Dortmund,Nordrhein-Westfalen,31.97199533255543,22.14076246334311,339,schlechtesten Drittel,154.65,130.29
122,5914,Hagen,Nordrhein-Westfalen,35.08771929824562,23.56687898089172,332,schlechtesten Drittel,154.65,130.29
123,5915,Hamm,Nordrhein-Westfalen,8.562691131498473,20.70175438596491,342,schlechtesten Drittel,154.65,130.29
124,5916,Herne,Nordrhein-Westfalen,34.54545454545454,33.149171270718234,282,schlechtesten Drittel,154.65,130.29
125,5954,Ennepe-Ruhr-Kreis,Nordrhein-Westfalen,34.48979591836735,63.51039260969978,70,besten Drittel,154.65,130.29
126,5958,Hochsauerlandkreis,Nordrhein-Westfalen,32.321041214750544,58.9540412044374,102,besten Drittel,154.65,130.29
127,5962,Märkischer Kreis,Nordrhein-Westfalen,56.66666666666667,54.729729729729726,136,mittleren Drittel,154.65,130.29
128,5966,Olpe,Nordrhein-Westfalen,41.84100418410042,70.44334975369458,33,besten Drittel,154.65,130.29
129,5970,Siegen-Wittgenstein,Nordrhein-Westfalen,44.13580246913581,80.0875273522976,9,besten Drittel,154.65,130.29
130,5974,Soest,Nordrhein-Westfalen,37.69063180827886,48.214285714285715,182,mittleren Drittel,154.65,130.29
131,5978,Unna,Nordrhein-Westfalen,30.04640371229699,50.22573363431151,174,mittleren Drittel,154.65,130.29
132,6411,Darmstadt,Hessen,38.043478260869556,9.158415841584159,383,schlechtesten Drittel,154.04,128.03
133,6412,Frankfurt am Main,Hessen,11.197916666666668,5.2243804420629605,392,schlechtesten Drittel,154.04,128.03
134,6413,Offenbach am Main,Hessen,6.932409012131716,5.0441361916771745,393,schlechtesten Drittel,154.04,128.03
135,6414,Wiesbaden,Hessen,23.02771855010661,34.32032301480484,277,schlechtesten Drittel,154.04,128.03
136,6431,Bergstraße,Hessen,46.2,55.65345080763582,128,besten Drittel,154.04,128.03
137,6432,Darmstadt-Dieburg,Hessen,44.289340101522846,65.10832383124287,61,besten Drittel,154.04,128.03
138,6433,Groß-Gerau,Hessen,36.23336745138178,42.64036418816388,221,mittleren Drittel,154.04,128.03
139,6434,Hochtaunuskreis,Hessen,35.15625,44.54545454545455,212,mittleren Drittel,154.04,128.03
140,6435,Main-Kinzig-Kreis,Hessen,35.192563081009304,44.89966555183946,208,mittleren Drittel,154.04,128.03
141,6436,Main-Taunus-Kreis,Hessen,46.08985024958403,44.85596707818931,210,mittleren Drittel,154.04,128.03
142,6437,Odenwaldkreis,Hessen,41.54929577464789,72.05882352941177,29,besten Drittel,154.04,128.03
143,6438,Offenbach,Hessen,19.469026548672566,29.43820224719101,299,schlechtesten Drittel,154.04,128.03
144,6439,Rheingau-Taunus-Kreis,Hessen,41.30434782608695,64.32584269662921,66,besten Drittel,154.04,128.03
145,6440,Wetteraukreis,Hessen,38.43373493975904,32.92682926829268,284,schlechtesten Drittel,154.04,128.03
146,6531,Gießen,Hessen,12.731871838111298,30.498773507767783,294,schlechtesten Drittel,154.04,128.03
147,6532,Lahn-Dill-Kreis,Hessen,41.52700186219739,60.034013605442176,95,besten Drittel,154.04,128.03
148,6533,Limburg-Weilburg,Hessen,50.98039215686274,54.62184873949579,139,mittleren Drittel,154.04,128.03
149,6534,Marburg-Biedenkopf,Hessen,48.49187935034803,53.88429752066116,145,mittleren Drittel,154.04,128.03
150,6535,Vogelsbergkreis,Hessen,54.3859649122807,82.10526315789474,8,besten Drittel,154.04,128.03
151,6611,Kassel,Hessen,3.8709677419354835,9.074410163339383,384,schlechtesten Drittel,154.04,128.03
152,6631,Fulda,Hessen,45.58587479935795,69.91150442477876,34,besten Drittel,154.04,128.03
153,6632,Hersfeld-Rotenburg,Hessen,42.335766423357676,69.23076923076923,37,besten Drittel,154.04,128.03
154,6633,Kassel,Hessen,28.511530398322847,26.190476190476193,318,schlechtesten Drittel,154.04,128.03
155,6634,Schwalm-Eder-Kreis,Hessen,36.90851735015773,51.86246418338109,159,mittleren Drittel,154.04,128.03
156,6635,Waldeck-Frankenberg,Hessen,37.5,60.34482758620689,94,besten Drittel,154.04,128.03
157,6636,Werra-Meißner-Kreis,Hessen,60.0,51.51515151515152,163,mittleren Drittel,154.04,128.03
158,7111,Koblenz,Rheinland-Pfalz,17.2972972972973,77.95918367346938,11,besten Drittel,146.97,129.72
159,7131,Ahrweiler,Rheinland-Pfalz,37.91469194312796,47.6027397260274,187,mittleren Drittel,146.97,129.72
160,7132,Altenkirchen (Westerwald),Rheinland-Pfalz,58.962264150943405,75.79908675799088,13,besten Drittel,146.97,129.72
161,7133,Bad Kreuznach,Rheinland-Pfalz,58.46153846153847,73.72262773722626,22,besten Drittel,146.97,129.72
162,7134,Birkenfeld,Rheinland-Pfalz,68.42105263157895,68.4931506849315,46,besten Drittel,146.97,129.72
163,7135,Cochem-Zell,Rheinland-Pfalz,63.5036496350365,79.05405405405405,10,besten Drittel,146.97,129.72
