,AGS,Name,energy_rank,energy_third,mobility_rank,mobility_third,agriculture_rank,agriculture_third,buildings_rank,buildings_third,waste_rank,waste_third,cumulative_rank
337,10044,Saarlouis,16.0,schlechtesten Drittel,381,schlechtesten Drittel,146.0,mittleren Drittel,161,mittleren Drittel,241.5,mittleren Drittel,945.5
330,9777,Ostallgäu,6.0,mittleren Drittel,278,schlechtesten Drittel,368.0,schlechtesten Drittel,119,besten Drittel,177.0,mittleren Drittel,948.0
43,3251,Diepholz,4.0,besten Drittel,284,schlechtesten Drittel,336.0,schlechtesten Drittel,321,schlechtesten Drittel,7.0,besten Drittel,952.0
232,8421,Ulm,9.0,mittleren Drittel,60,besten Drittel,260.0,mittleren Drittel,355,schlechtesten Drittel,268.0,schlechtesten Drittel,952.0
254,9184,Landkreis München,6.0,mittleren Drittel,385,schlechtesten Drittel,99.0,besten Drittel,235,mittleren Drittel,229.0,mittleren Drittel,954.0
234,8426,Biberach,9.0,mittleren Drittel,299,schlechtesten Drittel,323.0,schlechtesten Drittel,7,besten Drittel,316.0,schlechtesten Drittel,954.0
359,13004,Schwerin,1.0,besten Drittel,21,besten Drittel,225.0,mittleren Drittel,395,schlechtesten Drittel,313.0,schlechtesten Drittel,955.0
94,5314,Bonn,14.0,schlechtesten Drittel,61,besten Drittel,229.0,mittleren Drittel,334,schlechtesten Drittel,317.0,schlechtesten Drittel,955.0
372,14625,Bautzen,11.0,mittleren Drittel,169,mittleren Drittel,150.0,mittleren Drittel,281,schlechtesten Drittel,345.0,schlechtesten Drittel,956.0
26,1057,Plön,2.0,besten Drittel,212,mittleren Drittel,236.0,mittleren Drittel,291,schlechtesten Drittel,216.0,mittleren Drittel,957.0
355,12071,Spree-Neiße,5.0,besten Drittel,227,mittleren Drittel,205.0,mittleren Drittel,152,mittleren Drittel,368.0,schlechtesten Drittel,957.0
106,5513,Gelsenkirchen,14.0,schlechtesten Drittel,27,besten Drittel,370.0,schlechtesten Drittel,207,mittleren Drittel,340.0,schlechtesten Drittel,958.0
111,5566,Steinfurt,14.0,schlechtesten Drittel,187,mittleren Drittel,386.0,schlechtesten Drittel,311,schlechtesten Drittel,62.0,besten Drittel,960.0
21,1051,Dithmarschen,2.0,besten Drittel,191,mittleren Drittel,316.0,schlechtesten Drittel,252,mittleren Drittel,203.0,mittleren Drittel,964.0
74,3460,Vechta,4.0,besten Drittel,181,mittleren Drittel,393.0,schlechtesten Drittel,372,schlechtesten Drittel,18.0,besten Drittel,968.0
301,9571,Landkreis Ansbach,6.0,mittleren Drittel,358,schlechtesten Drittel,291.0,schlechtesten Drittel,91,besten Drittel,222.0,mittleren Drittel,968.0
205,8135,Heidenheim,9.0,mittleren Drittel,252,mittleren Drittel,269.0,schlechtesten Drittel,220,mittleren Drittel,220.0,mittleren Drittel,970.0
115,5758,Herford,14.0,schlechtesten Drittel,297,schlechtesten Drittel,240.0,mittleren Drittel,183,mittleren Drittel,236.0,mittleren Drittel,970.0
62,3403,Oldenburg (Oldenburg),4.0,besten Drittel,57,besten Drittel,335.0,schlechtesten Drittel,374,schlechtesten Drittel,200.0,mittleren Drittel,970.0
306,9576,Roth,6.0,mittleren Drittel,370,schlechtesten Drittel,275.0,schlechtesten Drittel,127,besten Drittel,193.0,mittleren Drittel,971.0
369,14523,Vogtlandkreis,11.0,mittleren Drittel,194,mittleren Drittel,239.0,mittleren Drittel,140,mittleren Drittel,387.0,schlechtesten Drittel,971.0
240,9163,Rosenheim,6.0,mittleren Drittel,81,besten Drittel,384.0,schlechtesten Drittel,248,mittleren Drittel,256.0,mittleren Drittel,975.0
270,9277,Rottal-Inn,6.0,mittleren Drittel,367,schlechtesten Drittel,344.0,schlechtesten Drittel,100,besten Drittel,160.0,mittleren Drittel,977.0
93,5170,Wesel,14.0,schlechtesten Drittel,226,mittleren Drittel,354.0,schlechtesten Drittel,160,mittleren Drittel,224.0,mittleren Drittel,978.0
34,3103,Wolfsburg,4.0,besten Drittel,399,schlechtesten Drittel,27.0,besten Drittel,378,schlechtesten Drittel,173.0,mittleren Drittel,981.0
105,5512,Bottrop,14.0,schlechtesten Drittel,131,besten Drittel,387.0,schlechtesten Drittel,178,mittleren Drittel,271.0,schlechtesten Drittel,981.0
61,3402,Emden,4.0,besten Drittel,48,besten Drittel,340.0,schlechtesten Drittel,322,schlechtesten Drittel,269.0,schlechtesten Drittel,983.0
73,3459,Landkreis Osnabrück,4.0,besten Drittel,266,mittleren Drittel,385.0,schlechtesten Drittel,288,schlechtesten Drittel,42.0,besten Drittel,985.0
155,6634,Schwalm-Eder-Kreis,10.0,mittleren Drittel,322,schlechtesten Drittel,202.0,mittleren Drittel,159,mittleren Drittel,292.0,schlechtesten Drittel,985.0
127,5962,Märkischer Kreis,14.0,schlechtesten Drittel,211,mittleren Drittel,314.0,schlechtesten Drittel,136,mittleren Drittel,323.0,schlechtesten Drittel,998.0
367,14521,Erzgebirgskreis,11.0,mittleren Drittel,179,mittleren Drittel,273.0,schlechtesten Drittel,167,mittleren Drittel,371.0,schlechtesten Drittel,1001.0
92,5166,Viersen,14.0,schlechtesten Drittel,249,mittleren Drittel,337.0,schlechtesten Drittel,168,mittleren Drittel,234.0,mittleren Drittel,1002.0
110,5562,Recklinghausen,14.0,schlechtesten Drittel,120,besten Drittel,377.0,schlechtesten Drittel,259,mittleren Drittel,235.0,mittleren Drittel,1005.0
25,1056,Pinneberg,2.0,besten Drittel,88,besten Drittel,319.0,schlechtesten Drittel,314,schlechtesten Drittel,285.0,schlechtesten Drittel,1008.0
86,5120,Remscheid,14.0,schlechtesten Drittel,92,besten Drittel,363.0,schlechtesten Drittel,195,mittleren Drittel,344.0,schlechtesten Drittel,1008.0
242,9172,Berchtesgadener Land,6.0,mittleren Drittel,198,mittleren Drittel,371.0,schlechtesten Drittel,217,mittleren Drittel,219.0,mittleren Drittel,1011.0
203,8127,Schwäbisch Hall,9.0,mittleren Drittel,315,schlechtesten Drittel,332.0,schlechtesten Drittel,74,besten Drittel,282.0,schlechtesten Drittel,1012.0
68,3454,Emsland,4.0,besten Drittel,183,mittleren Drittel,389.0,schlechtesten Drittel,371,schlechtesten Drittel,66.0,besten Drittel,1013.0
267,9274,Landkreis Landshut,6.0,mittleren Drittel,352,schlechtesten Drittel,321.0,schlechtesten Drittel,71,besten Drittel,265.0,mittleren Drittel,1015.0
51,3353,Harburg,4.0,besten Drittel,298,schlechtesten Drittel,259.0,mittleren Drittel,350,schlechtesten Drittel,105.0,besten Drittel,1016.0
