,AGS,Name,energy_rank,energy_third,mobility_rank,mobility_third,agriculture_rank,agriculture_third,buildings_rank,buildings_third,waste_rank,waste_third,cumulative_rank
227,8336,Lörrach,9.0,mittleren Drittel,148,mittleren Drittel,198.0,mittleren Drittel,144,mittleren Drittel,58.0,besten Drittel,557.0
176,7313,Landau in der Pfalz,8.0,mittleren Drittel,132,besten Drittel,1.0,besten Drittel,262,mittleren Drittel,158.0,mittleren Drittel,561.0
357,12073,Uckermark,5.0,besten Drittel,114,besten Drittel,64.0,besten Drittel,303,schlechtesten Drittel,77.0,besten Drittel,563.0
161,7133,Bad Kreuznach,8.0,mittleren Drittel,234,mittleren Drittel,48.0,besten Drittel,22,besten Drittel,255.0,mittleren Drittel,567.0
381,15003,Magdeburg,7.0,mittleren Drittel,26,besten Drittel,17.0,besten Drittel,216,mittleren Drittel,302.0,schlechtesten Drittel,568.0
48,3257,Schaumburg,4.0,besten Drittel,271,schlechtesten Drittel,165.0,mittleren Drittel,117,besten Drittel,12.0,besten Drittel,569.0
149,6534,Marburg-Biedenkopf,10.0,mittleren Drittel,117,besten Drittel,181.0,mittleren Drittel,145,mittleren Drittel,117.0,besten Drittel,570.0
170,7231,Bernkastel-Wittlich,8.0,mittleren Drittel,331,schlechtesten Drittel,201.0,mittleren Drittel,6,besten Drittel,30.0,besten Drittel,576.0
409,16071,Weimarer Land,3.0,besten Drittel,129,besten Drittel,98.0,besten Drittel,50,besten Drittel,296.0,schlechtesten Drittel,576.0
344,12060,Barnim,5.0,besten Drittel,96,besten Drittel,119.0,besten Drittel,326,schlechtesten Drittel,33.0,besten Drittel,579.0
52,3354,Lüchow-Dannenberg,4.0,besten Drittel,265,mittleren Drittel,97.0,besten Drittel,205,mittleren Drittel,9.0,besten Drittel,580.0
411,16073,Saalfeld-Rudolstadt,3.0,besten Drittel,139,mittleren Drittel,207.0,mittleren Drittel,130,besten Drittel,101.0,besten Drittel,580.0
180,7317,Pirmasens,8.0,mittleren Drittel,111,besten Drittel,186.0,mittleren Drittel,26,besten Drittel,251.0,mittleren Drittel,582.0
374,14627,Meißen,11.0,mittleren Drittel,109,besten Drittel,140.0,mittleren Drittel,185,mittleren Drittel,142.0,mittleren Drittel,587.0
274,9362,Regensburg,6.0,mittleren Drittel,84,besten Drittel,2.0,besten Drittel,362,schlechtesten Drittel,135.0,mittleren Drittel,589.0
39,3157,Peine,4.0,besten Drittel,206,mittleren Drittel,30.0,besten Drittel,227,mittleren Drittel,124.0,besten Drittel,591.0
58,3360,Uelzen,4.0,besten Drittel,189,mittleren Drittel,78.0,besten Drittel,202,mittleren Drittel,119.0,besten Drittel,592.0
207,8211,Baden-Baden,9.0,mittleren Drittel,255,mittleren Drittel,61.0,besten Drittel,267,schlechtesten Drittel,3.0,besten Drittel,595.0
209,8215,Landkreis Karlsruhe,9.0,mittleren Drittel,231,mittleren Drittel,33.0,besten Drittel,200,mittleren Drittel,126.0,besten Drittel,599.0
320,9761,Augsburg,6.0,mittleren Drittel,23,besten Drittel,80.0,besten Drittel,265,mittleren Drittel,228.0,mittleren Drittel,602.0
217,8236,Enzkreis,9.0,mittleren Drittel,335,schlechtesten Drittel,161.0,mittleren Drittel,40,besten Drittel,59.0,besten Drittel,604.0
394,16052,Gera,3.0,besten Drittel,44,besten Drittel,46.0,besten Drittel,283,schlechtesten Drittel,232.0,mittleren Drittel,608.0
391,15090,Stendal,7.0,mittleren Drittel,113,besten Drittel,104.0,besten Drittel,279,schlechtesten Drittel,107.0,besten Drittel,610.0
375,14628,Sächsische Schweiz-Osterzgebirge,11.0,mittleren Drittel,122,besten Drittel,152.0,mittleren Drittel,146,mittleren Drittel,182.0,mittleren Drittel,613.0
280,9375,Landkreis Regensburg,6.0,mittleren Drittel,293,schlechtesten Drittel,196.0,mittleren Drittel,79,besten Drittel,39.0,besten Drittel,613.0
190,7337,Südliche Weinstraße,8.0,mittleren Drittel,387,schlechtesten Drittel,9.0,besten Drittel,108,besten Drittel,103.0,besten Drittel,615.0
187,7334,Germersheim,8.0,mittleren Drittel,276,schlechtesten Drittel,19.0,besten Drittel,251,mittleren Drittel,61.0,besten Drittel,615.0
226,8335,Konstanz,9.0,mittleren Drittel,91,besten Drittel,235.0,mittleren Drittel,113,besten Drittel,174.0,mittleren Drittel,622.0
225,8327,Tuttlingen,9.0,mittleren Drittel,232,mittleren Drittel,213.0,mittleren Drittel,48,besten Drittel,123.0,besten Drittel,625.0
166,7140,Rhein-Hunsrück-Kreis,8.0,mittleren Drittel,369,schlechtesten Drittel,112.0,besten Drittel,132,besten Drittel,5.0,besten Drittel,626.0
201,8125,Landkreis Heilbronn,9.0,mittleren Drittel,393,schlechtesten Drittel,59.0,besten Drittel,36,besten Drittel,136.0,mittleren Drittel,633.0
341,12052,Cottbus,5.0,besten Drittel,36,besten Drittel,54.0,besten Drittel,229,mittleren Drittel,310.0,schlechtesten Drittel,634.0
182,7319,Worms,8.0,mittleren Drittel,78,besten Drittel,5.0,besten Drittel,239,mittleren Drittel,306.0,schlechtesten Drittel,636.0
378,14730,Nordsachsen,11.0,mittleren Drittel,124,besten Drittel,107.0,besten Drittel,120,besten Drittel,277.0,schlechtesten Drittel,639.0
264,9271,Deggendorf,6.0,mittleren Drittel,303,schlechtesten Drittel,224.0,mittleren Drittel,54,besten Drittel,53.0,besten Drittel,640.0
95,5315,Köln,14.0,schlechtesten Drittel,16,besten Drittel,18.0,besten Drittel,231,mittleren Drittel,361.0,schlechtesten Drittel,640.0
313,9673,Röhn-Grabfeld,6.0,mittleren Drittel,384,schlechtesten Drittel,74.0,besten Drittel,173,mittleren Drittel,4.0,besten Drittel,641.0
401,16063,Wartburgkreis,3.0,besten Drittel,20,besten Drittel,163.0,mittleren Drittel,114,besten Drittel,342.0,schlechtesten Drittel,642.0
228,8337,Waldshut,9.0,mittleren Drittel,236,mittleren Drittel,265.0,mittleren Drittel,49,besten Drittel,83.0,besten Drittel,642.0
41,3159,Göttingen,4.0,besten Drittel,102,besten Drittel,82.0,besten Drittel,193,mittleren Drittel,267.0,schlechtesten Drittel,648.0
32,3101,Braunschweig,4.0,besten Drittel,106,besten Drittel,31.0,besten Drittel,368,schlechtesten Drittel,139.0,mittleren Drittel,648.0
408,16070,Ilm-Kreis,3.0,besten Drittel,85,besten Drittel,109.0,besten Drittel,176,mittleren Drittel,275.0,schlechtesten Drittel,648.0
229,8415,Reutlingen,9.0,mittleren Drittel,229,mittleren Drittel,209.0,mittleren Drittel,64,besten Drittel,138.0,mittleren Drittel,649.0
322,9763,Kempten (Allgäu),6.0,mittleren Drittel,115,besten Drittel,334.0,schlechtesten Drittel,55,besten Drittel,140.0,mittleren Drittel,650.0
389,15088,Saalekreis,7.0,mittleren Drittel,215,mittleren Drittel,67.0,besten Drittel,84,besten Drittel,279.0,schlechtesten Drittel,652.0
188,7335,Landkreis Kaiserslautern,8.0,mittleren Drittel,268,schlechtesten Drittel,162.0,mittleren Drittel,198,mittleren Drittel,16.0,besten Drittel,652.0
406,16068,Sömmerda,3.0,besten Drittel,125,besten Drittel,34.0,besten Drittel,116,besten Drittel,376.0,schlechtesten Drittel,654.0
40,3158,Wolfenbüttel,4.0,besten Drittel,230,mittleren Drittel,8.0,besten Drittel,301,schlechtesten Drittel,114.0,besten Drittel,657.0
380,15002,Halle (Saale),7.0,mittleren Drittel,3,besten Drittel,12.0,besten Drittel,307,schlechtesten Drittel,328.0,schlechtesten Drittel,657.0
287,9471,Landkreis Bamberg,6.0,mittleren Drittel,380,schlechtesten Drittel,129.0,besten Drittel,32,besten Drittel,111.0,besten Drittel,658.0
189,7336,Kusel,8.0,mittleren Drittel,361,schlechtesten Drittel,138.0,mittleren Drittel,147,mittleren Drittel,6.0,besten Drittel,660.0
152,6631,Fulda,10.0,mittleren Drittel,262,mittleren Drittel,286.0,schlechtesten Drittel,34,besten Drittel,71.0,besten Drittel,663.0
98,5358,Düren,14.0,schlechtesten Drittel,200,mittleren Drittel,60.0,besten Drittel,186,mittleren Drittel,205.0,mittleren Drittel,665.0
230,8416,Tübingen,9.0,mittleren Drittel,80,besten Drittel,105.0,besten Drittel,181,mittleren Drittel,290.0,schlechtesten Drittel,665.0
271,9278,Straubing-Bogen,6.0,mittleren Drittel,350,schlechtesten Drittel,184.0,mittleren Drittel,80,besten Drittel,46.0,besten Drittel,666.0
295,9479,Wunsiedel im Fichtelgebirge,6.0,mittleren Drittel,319,schlechtesten Drittel,234.0,mittleren Drittel,97,besten Drittel,10.0,besten Drittel,666.0
373,14626,Görlitz,11.0,mittleren Drittel,108,besten Drittel,136.0,mittleren Drittel,107,besten Drittel,305.0,schlechtesten Drittel,667.0
323,9764,Memmingen,6.0,mittleren Drittel,153,mittleren Drittel,358.0,schlechtesten Drittel,93,besten Drittel,60.0,besten Drittel,670.0
167,7141,Rhein-Lahn-Kreis,8.0,mittleren Drittel,306,schlechtesten Drittel,121.0,besten Drittel,121,besten Drittel,115.0,besten Drittel,671.0
99,5362,Rhein-Erft-Kreis,14.0,schlechtesten Drittel,152,mittleren Drittel,28.0,besten Drittel,255,mittleren Drittel,227.0,mittleren Drittel,676.0
315,9675,Kitzingen,6.0,mittleren Drittel,346,schlechtesten Drittel,142.0,mittleren Drittel,133,besten Drittel,49.0,besten Drittel,676.0
171,7232,Eifelkreis Bitburg-Prüm,8.0,mittleren Drittel,325,schlechtesten Drittel,312.0,schlechtesten Drittel,1,besten Drittel,30.0,besten Drittel,676.0
305,9575,Neustadt an der Aisch-Bad Windsheim,6.0,mittleren Drittel,336,schlechtesten Drittel,277.0,schlechtesten Drittel,47,besten Drittel,11.0,besten Drittel,677.0
311,9671,Landkreis Aschaffenburg,6.0,mittleren Drittel,357,schlechtesten Drittel,149.0,mittleren Drittel,69,besten Drittel,96.0,besten Drittel,677.0
219,8311,Freiburg im Breisgau,9.0,mittleren Drittel,4,besten Drittel,56.0,besten Drittel,349,schlechtesten Drittel,264.0,mittleren Drittel,682.0
256,9186,Pfaffenhofen an der Ilm,6.0,mittleren Drittel,296,schlechtesten Drittel,153.0,mittleren Drittel,196,mittleren Drittel,40.0,besten Drittel,691.0
296,9561,Ansbach,6.0,mittleren Drittel,178,mittleren Drittel,256.0,mittleren Drittel,209,mittleren Drittel,43.0,besten Drittel,692.0
284,9462,Bayreuth,6.0,mittleren Drittel,69,besten Drittel,267.0,schlechtesten Drittel,87,besten Drittel,263.0,mittleren Drittel,692.0
377,14729,Landkreis Leipzig,11.0,mittleren Drittel,137,mittleren Drittel,108.0,besten Drittel,77,besten Drittel,359.0,schlechtesten Drittel,692.0
42,3241,Region Hannover,4.0,besten Drittel,49,besten Drittel,84.0,besten Drittel,348,schlechtesten Drittel,209.0,mittleren Drittel,694.0
398,16056,Eisenach,3.0,besten Drittel,47,besten Drittel,65.0,besten Drittel,238,mittleren Drittel,341.0,schlechtesten Drittel,694.0
283,9461,Bamberg,6.0,mittleren Drittel,59,besten Drittel,3.0,besten Drittel,361,schlechtesten Drittel,266.0,mittleren Drittel,695.0
222,8317,Ortenaukreis,9.0,mittleren Drittel,235,mittleren Drittel,130.0,besten Drittel,62,besten Drittel,260.0,mittleren Drittel,696.0
193,7340,Südwestpfalz,8.0,mittleren Drittel,392,schlechtesten Drittel,243.0,mittleren Drittel,38,besten Drittel,15.0,besten Drittel,696.0
317,9677,Main-Spessart,6.0,mittleren Drittel,362,schlechtesten Drittel,55.0,besten Drittel,20,besten Drittel,253.0,mittleren Drittel,696.0
142,6437,Odenwaldkreis,10.0,mittleren Drittel,270,schlechtesten Drittel,310.0,schlechtesten Drittel,29,besten Drittel,79.0,besten Drittel,698.0
53,3355,Lüneburg,4.0,besten Drittel,101,besten Drittel,131.0,besten Drittel,363,schlechtesten Drittel,100.0,besten Drittel,699.0
363,13074,Nordwestmecklenburg,1.0,besten Drittel,105,besten Drittel,100.0,besten Drittel,308,schlechtesten Drittel,186.0,mittleren Drittel,700.0
172,7233,Vulkaneifel,8.0,mittleren Drittel,372,schlechtesten Drittel,287.0,schlechtesten Drittel,3,besten Drittel,30.0,besten Drittel,700.0
364,13075,Vorpommern-Greifswald,1.0,besten Drittel,64,besten Drittel,102.0,besten Drittel,213,mittleren Drittel,320.0,schlechtesten Drittel,700.0
198,8118,Ludwigsburg,9.0,mittleren Drittel,188,mittleren Drittel,148.0,mittleren Drittel,171,mittleren Drittel,185.0,mittleren Drittel,701.0
45,3254,Hildesheim,4.0,besten Drittel,126,besten Drittel,25.0,besten Drittel,298,schlechtesten Drittel,248.0,mittleren Drittel,701.0
291,9475,Landkreis Hof,6.0,mittleren Drittel,363,schlechtesten Drittel,276.0,schlechtesten Drittel,57,besten Drittel,2.0,besten Drittel,704.0
286,9464,Hof,6.0,mittleren Drittel,99,besten Drittel,263.0,mittleren Drittel,335,schlechtesten Drittel,1.0,besten Drittel,704.0
221,8316,Emmendingen,9.0,mittleren Drittel,175,mittleren Drittel,167.0,mittleren Drittel,104,besten Drittel,249.0,mittleren Drittel,704.0
194,8111,Stuttgart,9.0,mittleren Drittel,43,besten Drittel,90.0,besten Drittel,234,mittleren Drittel,329.0,schlechtesten Drittel,705.0
195,8115,Böblingen,9.0,mittleren Drittel,326,schlechtesten Drittel,172.0,mittleren Drittel,82,besten Drittel,116.0,besten Drittel,705.0
392,15091,Wittenberg,7.0,mittleren Drittel,168,mittleren Drittel,134.0,mittleren Drittel,90,besten Drittel,307.0,schlechtesten Drittel,706.0
132,6411,Darmstadt,10.0,mittleren Drittel,15,besten Drittel,,,383,schlechtesten Drittel,300.0,schlechtesten Drittel,708.0
415,16077,Altenburger Land,3.0,besten Drittel,118,besten Drittel,94.0,besten Drittel,324,schlechtesten Drittel,169.0,mittleren Drittel,708.0
316,9676,Miltenberg,6.0,mittleren Drittel,344,schlechtesten Drittel,171.0,mittleren Drittel,24,besten Drittel,167.0,mittleren Drittel,712.0
160,7132,Altenkirchen (Westerwald),8.0,mittleren Drittel,300,schlechtesten Drittel,293.0,schlechtesten Drittel,13,besten Drittel,99.0,besten Drittel,713.0
136,6431,Bergstraße,10.0,mittleren Drittel,272,schlechtesten Drittel,177.0,mittleren Drittel,128,besten Drittel,127.0,besten Drittel,714.0
211,8221,Heidelberg,9.0,mittleren Drittel,2,besten Drittel,50.0,besten Drittel,331,schlechtesten Drittel,322.0,schlechtesten Drittel,714.0
33,3102,Salzgitter,4.0,besten Drittel,70,besten Drittel,22.0,besten Drittel,360,schlechtesten Drittel,259.0,mittleren Drittel,715.0
